Product_name,Thaiwatsadu_price,Thaiwatsadu_link,GlobalHouse_price,GlobalHouse_link,Thaiwatsadu SKU
โคมดาวน์ไลท์หน้ากลม 4นิ้ว LED 9W DL LUZINO PN-JYX0101-9W/DL ขาว,88,https://www.thaiwatsadu.com/th/sku/60308450,145,https://globalhouse.co.th/product/detail/8858869068318,60308450
โคมไฟผนังภายนอกอลูมิเนียม 1xE27 LUZINO PISA 2013S(GY) 9x9x13.5 ซม. เทา,298,https://www.thaiwatsadu.com/th/sku/60257186,390,https://globalhouse.co.th/product/detail/4122007220154,60257186
โคมไฟเพดานพลาสติก LED 24W DL LUZINO PX-0663-330 33x33x9 ซม. ขาว,238,https://www.thaiwatsadu.com/th/sku/60405252,325,https://globalhouse.co.th/product/GATA-%E0%B9%82%E0%B8%84%E0%B8%A1%E0%B8%8B%E0%B8%B2%E0%B8%A5%E0%B8%B2%E0%B9%80%E0%B8%9B%E0%B8%B2-LED-24W-%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99-Moon-%E0%B9%81%E0%B8%AA%E0%B8%87%E0%B9%80%E0%B8%94%E0%B8%A2%E0%B9%8C%E0%B9%84%E0%B8%A5%E0%B8%97%E0%B9%8C-i.8858817658004,60405252
กล่องจัดเก็บอเนกประสงค์แบบพับได้ พร้อมฝาไม้ 24 ลิตร Camping KASSA HOME BFPD2001 41.5x28.5x22.5 ซม. ค,228,https://www.thaiwatsadu.com/th/sku/60393705,190,https://globalhouse.co.th/product/GOME-%E0%B8%81%E0%B8%A5%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%81%E0%B9%87%E0%B8%9A%E0%B8%82%E0%B8%AD%E0%B8%87%E0%B8%9E%E0%B8%B1%E0%B8%9A%E0%B9%80%E0%B8%81%E0%B9%87%E0%B8%9A%E0%B9%84%E0%B8%94%E0%B9%89-%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%9D%E0%B8%B2%E0%B8%9B%E0%B8%B4%E0%B8%94-30%E0%B8%A5%E0%B8%B4%E0%B8%95%E0%B8%A3--%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-30%C3%9743%C3%9723-%E0%B8%8B%E0%B8%A1.-%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99-TZ03-%E0%B8%AA%E0%B8%B5%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%95%E0%B8%B2%E0%B8%A5%E0%B8%AD%E0%B9%88%E0%B8%AD%E0%B8%99-i.6122006080344,60393705
กล่องอเนกประสงค์พร้อมล้อและฝาล็อค 100 ลิตร Camping KASSA HOME JCJ-5519 74.3x49.1x49.2 ซม. ครีม,498,https://www.thaiwatsadu.com/th/sku/60420363,650,https://globalhouse.co.th/product/JCJ-%E0%B8%81%E0%B8%A5%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%81%E0%B9%87%E0%B8%9A%E0%B8%82%E0%B8%AD%E0%B8%87-100L-%E0%B8%A1%E0%B8%B5%E0%B8%A5%E0%B9%89%E0%B8%AD-S55-Plus-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-45.9x46.8x45.7cm.-%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99-5519-%E0%B8%AA%E0%B8%B5%E0%B9%80%E0%B8%9A%E0%B8%88-i.8852080055195,60420363
กล่องอเนกประสงค์พร้อมล้อและฝาล็อค 70 ลิตร Camping KASSA HOME JCJ-5518 64.4x43x45.4 ซม. ครีม,358,https://www.thaiwatsadu.com/th/sku/60423986,550,https://globalhouse.co.th/product/JCJ-%E0%B8%81%E0%B8%A5%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%81%E0%B9%87%E0%B8%9A%E0%B8%82%E0%B8%AD%E0%B8%87-70L-%E0%B8%A1%E0%B8%B5%E0%B8%A5%E0%B9%89%E0%B8%AD-S55-Plus-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-49.1x74.3x49.2cm.-%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99-5518-%E0%B8%AA%E0%B8%B5%E0%B9%80%E0%B8%9A%E0%B8%88-i.8852080055188,60423986
ครกสแตนเลสพร้อมสากและฝาปิด 4 นิ้ว KASSA HOME GP-002A 10.2x10.2x10 ซม. เงิน,225,https://www.thaiwatsadu.com/th/sku/60388787,225,https://globalhouse.co.th/product/SANE-%E0%B8%84%E0%B8%A3%E0%B8%81%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%AA%E0%B8%B2%E0%B8%81%E0%B8%AA%E0%B9%80%E0%B8%95%E0%B8%99%E0%B9%80%E0%B8%A5%E0%B8%AA304-4-%E0%B8%99%E0%B8%B4%E0%B9%89%E0%B8%A7-JAKA04-i.4622007261428,60388787
ครกสแตนเลสพร้อมสากและฝาปิด 6 นิ้ว KASSA HOME GP-002B 15x15x12.9 ซม. เงิน,335,https://www.thaiwatsadu.com/th/sku/60388788,335,https://globalhouse.co.th/product/SANE-%E0%B8%84%E0%B8%A3%E0%B8%81%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%AA%E0%B8%B2%E0%B8%81%E0%B8%AA%E0%B9%80%E0%B8%95%E0%B8%99%E0%B9%80%E0%B8%A5%E0%B8%AA-SUS304-6-%E0%B8%99%E0%B8%B4%E0%B9%89%E0%B8%A7-JAKA05-i.4622007261435,60388788
ชั้นตะแกรงเหล็กอเนกประสงค์ 3 ชั้น Rocky KASSA HOME A2525-MBK 90x45x90 ซม. ดำ,658,https://www.thaiwatsadu.com/th/sku/60387800,1390,https://globalhouse.co.th/product/HAWDD-%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B8%A7%E0%B8%B2%E0%B8%87%E0%B8%82%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%AB%E0%B8%A5%E0%B9%87%E0%B8%81%E0%B9%82%E0%B8%A5%E0%B9%88%E0%B8%87-3-%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99-ARK7966015-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-109x40x90%E0%B8%8B%E0%B8%A1.-%E0%B8%AA%E0%B8%B5%E0%B9%80%E0%B8%97%E0%B8%B2-i.5922004362647,60387800
ชั้นตะแกรงเหล็กอเนกประสงค์ 3 ชั้น Rocky KASSA HOME A2525-WH 90x45x90 ซม. ขาว,658,https://www.thaiwatsadu.com/th/sku/60387801,1390,https://globalhouse.co.th/product/HAWDD-%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B8%A7%E0%B8%B2%E0%B8%87%E0%B8%82%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%AB%E0%B8%A5%E0%B9%87%E0%B8%81%E0%B9%82%E0%B8%A5%E0%B9%88%E0%B8%87-3-%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99-ARK7966015-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-109x40x90%E0%B8%8B%E0%B8%A1.-%E0%B8%AA%E0%B8%B5%E0%B9%80%E0%B8%97%E0%B8%B2-i.5922004362647,60387801
