Product_name,Thaiwatsadu_price,Thaiwatsadu_link,HomePro_price,HomePro_link,Thaiwatsadu SKU
กล่องกันน้ำ 4x4 GIANT KINGKONG V-128 ขาว,38,https://www.thaiwatsadu.com/th/sku/60388257,57,https://www.homepro.co.th/p/1137997?srsltid=AfmBOoq9hPU90YF5qpl7IgfN0kjtOqjA5EquXauJynoFP_FqWfA_5bGM,60388257
กล่องกันน้ำ GIANT KINGKONG รุ่น V-127 ขนาด 2 x 4 นิ้ว สีขาว,18,https://www.thaiwatsadu.com/th/sku/60388256,23,https://www.homepro.co.th/p/1128417,60388256
ขั้วกันน้ำไฟระย้า E27 LUZINO SL-DC01/10 10ม. 30ขั้ว,958,https://www.thaiwatsadu.com/th/sku/60329183,990,https://www.homepro.co.th/p/1145578,60329183
ชุดเต้ารับคู่มีกราวด์บน+ม่าน LUZINO MLS79-VE3-PC ดำ,78,https://www.thaiwatsadu.com/th/sku/60401421,95,https://www.homepro.co.th/p/1217572,60401421
บล็อกฝัง GIANT KINGKONG รุ่น V-125 ขนาด 2 x 4 นิ้ว สีดำ,6,https://www.thaiwatsadu.com/th/sku/60388254,6,https://www.homepro.co.th/p/1128133,60388254
ปลั๊กตัวผู้ 3P 16A 220V LUZINO รุ่น AJ-013 สีน้ำเงิน,33,https://www.thaiwatsadu.com/th/sku/60234126,59,https://www.homepro.co.th/p/1140076,60234126
ฝาปิดสแควร์บ๊อกซ์ 2 นิ้ว GIANT KINGKONG รุ่น 58c1 สีเงิน,7,https://www.thaiwatsadu.com/th/sku/60347963,9,https://www.homepro.co.th/p/16340,60347963
ฝาปิดสแควร์บ๊อกซ์ GIANT KINGKONG รุ่น 52C1 0.5 มม. ขนาด 4 x 4 นิ้ว สีเงิน,8,https://www.thaiwatsadu.com/th/sku/60279430,9,https://www.homepro.co.th/p/16342,60279430
พัดลมโคมไฟพลาสติกเอบีเอส Tri-Color (รีโมทคอนโทรล) LUZINO รุ่น WYD52-C04 ขนาด 52 นิ้ว สีดำ,3380,https://www.thaiwatsadu.com/th/sku/60305504,4790,https://www.homepro.co.th/p/1167597,60305504
มิเตอร์ LUZINO รุ่น DD28-5(15) ขนาด 5(15) แอมป์ สีดำ,378,https://www.thaiwatsadu.com/th/sku/60259310,559,https://www.homepro.co.th/p/1200803,60259310
รางครอบสายไฟ GIANT KINGKONG PVC Trunking-4 50x75 มม. 2 ม. ขาว,153,https://www.thaiwatsadu.com/th/sku/60222426,239,https://www.homepro.co.th/p/1114394,60222426
รางปลั๊กไฟ 3 ช่อง 3 สวิตช์ LUZINO รุ่น EI-103 3M. สายไฟยาว 3 เมตร สีขาว - เทา,188,https://www.thaiwatsadu.com/th/sku/60321316,475,https://www.homepro.co.th/p/1104526,60321316
รางปลั๊กไฟ 4 ช่อง 4 สวิตช์ LUZINO EI-104 5ม. ขาว/เทา,298,https://www.thaiwatsadu.com/th/sku/60321322,650,https://www.homepro.co.th/p/1104539,60321322
