original,final,source,expected
AI_ERROR_SIZE,NEEDS_REVIEW,ทินเนอร์ TOA BARGO AAA ขวดใหญ่,ทินเนอร์ Barco รุ่น AAA ขนาด ขวดใหญ่
AI_ERROR_FINISH,GT_FAULT_BRAND_MISMATCH,ประตูห้องน้ำ UPVC ECO-DOOR PD1 70X200 ซม. สีครีมเท,ประตูภายใน UPVC ECO DOOR รุ่น PB1 ขนาด 70 x 200 ซม
AI_ERROR_FINISH,GT_FAULT_BRAND_MISMATCH,ประตูห้องน้ำ UPVC AZLE TROPICAL 70X200 ซม. สีขาว พ,ประตูภายใน UPVC กระจกลายดอกไม้ พร้อมวงกบ HI DOOR ร
AI_ERROR_FINISH,GT_FAULT_BRAND_MISMATCH,ประตู UPVC ASARA G925 ดอกซากุระ 70x200 ซม. สีขาว พ,ประตูภายใน UPVC กระจกลายดอกไม้ พร้อมวงกบ HI DOOR ร
AI_ERROR_FINISH,GT_FAULT_BRAND_MISMATCH,ประตูภายใน UPVC AZLE LT-06 80X200 ซม. สี BROWNIE O,ประตูภายใน UPVC เซาะร่อง CONNEX รุ่น LT13 ขนาด 80 
AI_ERROR_FINISH,GT_FAULT_BRAND_MISMATCH,สีน้ำทาภายนอก NIPPON PAINT SUPER SERVE BASE A กึ่ง,สีน้ำกึ่งเงา ภายนอก NIPPON รุ่น ซุปเปอร์เซิฟ ขนาด 
AI_ERROR_FINISH,NEEDS_REVIEW,สีน้ำทาภายนอก TOA SUPERSHIELD ADVANCE BASE A เนียน,สีน้ำกึ่งเงา ภายนอก TOA รุ่น Supershield Advance ข
AI_ERROR_PRODUCT_LINE,NEEDS_REVIEW,สีน้ำทาภายนอก ชนิดกึ่งเงา TOA SUPERMATEX BASE A 9 ,สีน้ำกึ่งเงาภายนอก ซุปเปอร์เมเทค รุ่น แอดวานซ์ ขนา
AI_ERROR_FINISH,NEEDS_REVIEW,สีน้ำทาภายนอก NIPPON PAINT WEATHERBONDSHEEN BASE A,สีน้ำภายนอก NIPPON รุ่น เวเธอร์บอนด์ เนียน ขนาด 9 
AI_ERROR_FINISH,NEEDS_REVIEW,สีน้ำทาภายนอก DULUX INSPIRE BASE B ด้าน 9 ลิตร,สีน้ำภายนอก ชนิดกึ่งเงา DULUX รุ่น INSPIRE ขนาด 9 
AI_ERROR_FINISH,NEEDS_REVIEW,สีน้ำทาภายนอก ชนิดกึ่งเงา NIPPON PAINT HYBRIDSHIEL,สีน้ำภายนอก ชนิดด้าน NIPPON PAINT รุ่น HYBRIDSHIEL
AI_ERROR_SIZE,AI_ERROR_BRAND,สีน้ำทาภายนอก ชนิดกึ่งเงา JOTUN TOUGH SHIELD BASE ,สีน้ำภายนอกกึ่งเงา JOTUN รุ่น TOUGH SHIELD ขนาด 2.
AI_ERROR_SIZE,AI_ERROR_SIZE,สีน้ำทาภายนอก ชนิดกึ่งเงา JOTUN JOTASHIELD ANTIFAD,สีน้ำภายนอกกึ่งเงา JOTUN รุ่น JOTASHIELD AF ขนาด 9
AI_ERROR_SIZE,AI_ERROR_BRAND,สีน้ำทาภายนอก ชนิดกึ่งเงา JOTUN TOUGH SHIELD BASE ,สีน้ำภายนอกกึ่งเงา JOTUN รุ่น TOUGH SHIELD ขนาด 2.
AI_ERROR_SIZE,AI_ERROR_BRAND,สีน้ำทาภายนอก ชนิดกึ่งเงา JOTUN TOUGH SHIELD MAX B,สีน้ำภายนอกด้าน JOTUN รุ่น TOUGH SHIELD MAX ขนาด 2
AI_ERROR_FINISH,NEEDS_REVIEW,สีน้ำทาภายใน ชนิดเนียน TOA ORGANIC CARE BASE A 9 ล,สีน้ำภายใน ชนิดกึ่งเงา TOA รุ่น Organic Care ขนาด 
AI_ERROR_FINISH,NEEDS_REVIEW,สีน้ำทาภายนอก ชนิดด้าน BEGER COOL DIAMONDSHIELD 15,สีน้ำเนียน ภายนอก 9 ลิตร BEGER รุ่น COOL DIAMONDSH
AI_ERROR_FINISH,NEEDS_REVIEW,สีน้ำทาภายนอก TOA SUPERSHIELD สีขาว #100 กึ่งเงา 5,สีน้ำเนียน ภายนอก TOA รุ่น Supershield ขนาด 5 แกลล
AI_ERROR_FINISH,NEEDS_REVIEW,สีน้ำทาภายใน NIPPON PAINT HYBRIDSHIELD BASE A กึ่ง,สีภายในไฮบริดชิลด์กึ่งเงา NIPPON รุ่น HYBRIDSHIELD
AI_ERROR_SIZE,NEEDS_REVIEW,สีรองพื้นอเนกประสงค์ NIPPON PAINT FLEXISEAL 20 กก.,สีรองพื้นปูนเก่า ผนังภายนอก NIPPON รุ่น เฟล็กซี่ ซ
AI_ERROR_FINISH,AI_ERROR_SIZE,สีรองพื้นปูนใหม่ TOA HOMECOTE 1000 ด้าน 5 แกลลอน,สีรองพื้นปูนใหม่ HOMECOTE ขนาด 5 แกลอน สี 0000 ขาว
AI_ERROR_FINISH,NEEDS_REVIEW,สีเคลือบกันสนิม TOA เป็ดหงส์ 2 IN 1 สีดำ M818 1 แก,สีเคลือบกันสนิม ชนิดด้าน MANDARIN รุ่น MD 2IN1 RUS
AI_ERROR_FINISH,NEEDS_REVIEW,หน้าต่างบานเลื่อน อะลูมิเนียม S-S AZLE 100x100 ซม.,หน้าต่างอะลูมิเนียมบานเลื่อน NK รุ่น 2 บานไม่มีมุ้
AI_ERROR_FINISH,NEEDS_REVIEW,กาวพลังตะปูสูตรน้ำมัน PATTEX PL60 400 ก. สีน้ำตาล,กาวตะปูสูตรน้ำมัน PATTEX รุ่น PL60 1922470 ขนาด 30
AI_ERROR_FINISH,NEEDS_REVIEW,ตลับเมตรหุ้มยาง พร้อมตัวล็อก STANLEY 5 ม.,ตลับเมตร STANLEY รุ่น Control Lock STHT37217-30 ขน
AI_ERROR_FINISH,NEEDS_REVIEW,ถังปูนพลาสติก W.PLASTIC สีดำ,ถังปูนไนล่อนเกรดเอ ช่างมือโปร บุ้งกี๋/ถังปูน/อ่างผ
AI_ERROR_FINISH,NEEDS_REVIEW,เขาควายทั่วไป SOLEX 1704 SN สีสเตนเลส,มือจับก้านโยกห้องทั่วไปซิงค์พรีเมียมจานสี่เหลี่ยม 
AI_ERROR_FINISH,NEEDS_REVIEW,กุญแจบานเลื่อน SOLEX 2KLL สีขาว,มือจับบานเลื่อนล็อกอะลูมิเนียม พร้อมกุญแจ SOLEX รุ
AI_ERROR_FINISH,NEEDS_REVIEW,ลูกบิดทั่วไป SOLEX 9210 SS หัวจัน สีสเตนเลส,ลูกบิดห้องน้ำหัวจันจานใหญ่หนาสเตนเลส 304 SOLEX รุ่
AI_ERROR_FINISH,NEEDS_REVIEW,"สกรูไดร์วอลล์ BY TORA 6X1"" 100 ชิ้น",สกรูไดร์วอลล์หัวเรียบ (เกลียวหุน) 6 x 1 นิ้ว MR ME
AI_ERROR_FINISH,NEEDS_REVIEW,สกรูไดร์วอลล์ TF DEXZON 3/4 นิ้ว 25 ชิ้น,สกรูไดร์วอลล์หัวเรียบ (เกลียวหุน) 6 x 3/4 นิ้ว MR 
AI_ERROR_FINISH,NEEDS_REVIEW,อะไหล่ลูกกลิ้งอะครีลิค MATALL 4 นิ้ว,อะไหล่ลูกกลิ้งทาสี AT INDY รุ่น C30104-10 ขนาด 4 น
AI_ERROR_FINISH,NEEDS_REVIEW,อะไหล่ลูกกลิ้งทาสี HACHI 4 นิ้ว,อะไหล่ลูกกลิ้งเคมีขนแกะ HACHI ขนาด 4 นิ้ว (แพ็ก 10
