chunk,source_idx,source_name,source_brand,source_url,target_name,target_brand,target_url,expected_url,confidence,reason,gt_status
1,5,เจโบลท์เกลียวหุน 1/2 นิ้ว x 500 มม. GIANT KINGKONG รุ่น JB1250 (แพ็ก 1 ชุด),GIANT KINGKONG,https://www.thaiwatsadu.com/th/sku/60398191,สกรูตัวเจ 1/2 นิ้ว x 50 ซม. | NASH,NASH,https://www.dohome.co.th/th/j-type-screw-1-2-inch-x-50-cm-10201456.html,https://www.dohome.co.th/th/j-type-screw-1-2-inch-x-50-cm-10201456.html,95,"Candidate 4 (NASH สกรูตัวเจ 1/2 นิ้ว x 50 ซม.) has the correct product type (เจโบลท์ is a type of J-screw/สกรูตัวเจ), matches the size_inch and length_cm, and is from a preferred brand (NASH).",CORRECT
1,6,รอกโซ่มือสาวทรงกลม GIANT KINGKONG รุ่น 605-1A(3m) ขนาด 1 ตัน x 3 เมตร สีแดง,GIANT KINGKONG,https://www.thaiwatsadu.com/th/sku/60221082,NASH รอกโซ่ 1 ตัน รุ่น HSZ-1 กลม,NASH,https://www.dohome.co.th/th/nash-chain-block-1-t-no-hsz-1-10141836.html,https://www.dohome.co.th/th/nash-chain-block-1-t-no-hsz-1-10141836.html,75,"The candidate is a NASH brand chain block, which is a preferred brand and the correct product type, despite the lower spec match percentage as exact length was not parsed for this candidate.",CORRECT
1,7,ที่คว่ำจานพลาสติกพร้อมฝาครอบหน้าหลัง 2 ชั้น PICNIC รุ่น PNC-3836 ขนาด 39 ซม. สีขาว,PICNIC,https://www.thaiwatsadu.com/th/sku/60358561,MONO ที่คว่ำจานพร้อมฝาปิด 2 ชั้น รุ่น 3838,MONO,https://www.dohome.co.th/th/mono-dish-drainer-with-cover-2-layers-no3838-10342751.html,https://www.dohome.co.th/en/mono-dish-drainer-with-cover-2-layers-no3838-10342751.html,75,"The candidate has the correct product type (dish rack), matches the '2 tiers' spec, and is from a preferred brand (MONO) with a good SpecMatch%.",GT_MISSING
1,8,ลูกกลิ้งทาสี GIANT KINGKONG รุ่น HP 10 ขนาด 10 นิ้ว,GIANT KINGKONG,https://www.thaiwatsadu.com/th/sku/60219887,NASH ลูกกลิ้งทาสี 10 นิ้ว รุ่น RTS-010,NASH,https://www.dohome.co.th/th/nash-paint-roller10-inch-no-rts-010-10185198.html,https://www.dohome.co.th/th/nash-paint-roller10-inch-no-rts-010-10185198.html,95,"The candidate is the same product type (paint roller), has identical key specs (10 inch, FULL roller_type), and is from a highly preferred brand (NASH).",CORRECT
1,9,บานซิงค์คู่ ZAGIO รุ่น MAX21 #3876 ขนาด 84 x 10 x 64 ซม. สีขาว,ZAGIO,https://www.thaiwatsadu.com/th/sku/60327394,FINEXT บานซิงค์คู่ กระจกฝ้า รุ่น MAX 15 สีขาว,FINEXT,https://www.dohome.co.th/th/finext-double-sink-door-frosted-glass-max-15-white-10353359.html,https://www.dohome.co.th/th/double-doors-cabinet-for-kitchen-abs-no-platinum-pearl-white-10172906.html,75,"Candidate 1 is a 'sink cabinet' which is a type of 'cabinet door' and is from a PREFERRED brand (FINEXT). Although the SpecMatch is 0%, it is the only candidate that is relevant by product type and brand preference.",INCORRECT
1,10,แอลโบลท์เกลียวหุน 5/8 นิ้ว x 500 มม. GIANT KINGKONG LB5850 (แพ็ก 1 ชุด),GIANT KINGKONG,https://www.thaiwatsadu.com/th/sku/60398207,สกรูตัวเจ 5/8 นิ้ว x 50 ซม. | NASH,NASH,https://www.dohome.co.th/th/j-type-screw-5-8-inch-x-50-cm-10201458.html,https://www.dohome.co.th/th/l-type-screw-5-8-inch-x-50-cm-10202382.html,90,"The source product is a bolt with specs size_inch=5/8 inch and approximately 500mm length. Candidate 2 is a NASH (preferred brand) self-tapping screw with size_inch=5/8 inch and 50cm (500mm) length, making it a very close match in type and all critical specifications.",INCORRECT
1,11,มู่ลี่ PVC 1 นิ้ว KASSA HOME รุ่น RF-M-001 ขนาด 70 x 130 ซม. สีไม้,KASSA HOME,https://www.thaiwatsadu.com/th/sku/60264005,DECOS มู่ลี่หน้าต่าง PVC 80x130 ซม. สีน้ำตาลเข้ม,DE'COS,https://www.dohome.co.th/th/decos-pvc-window-blind-80x130-cm-dark-brown-10353771.html,https://www.dohome.co.th/th/decos-pvc-window-blind-80x130-cm-dark-brown-10353771.html,85,"Candidate 4 is the same product type ('blinds'), has the same length (130CM), is a preferred brand (DE'COS), and has a similar dimensions (80x130 vs 70x130).",CORRECT
2,15,รถเข็นปูนล้อเดี่ยวสูบลม 13 นิ้ว GIANT KINGKONG รุ่น HB-5204 ขนาด 62.5 ลิตร รับน้ำหนัก 80 กก.สีเหลือง,GIANT KINGKONG,https://www.thaiwatsadu.com/th/sku/60328858,NASH รถเข็นปูน ล้อลมเดี่ยว 13 นิ้ว สีเหลือง (80 กิโลกรัม),NASH,https://www.dohome.co.th/th/nash-cement-trolley-single-air-wheel-13-inches-yellow-80-kg-10383677.html,https://www.dohome.co.th/th/nash-cement-trolley-single-air-wheel-13-inches-yellow-80-kg-10383677.html,85,"The candidate is a wheelbarrow from a preferred brand (NASH, PREFERRED#1) and matches the critical 'size_inch=13 inch' specification with a high SpecMatch of 68%. While the volume is not specified in the candidate, the product type, brand preference, and common size match make it the best equivalent.",CORRECT
2,17,ชุดเครื่องมือช่างอเนกประสงค์ GIANT KINGKONG PRO รุ่น KKP3991M (54 ชิ้น) สีน้ำเงิน - เทา,GIANT KINGKONG PRO,https://www.thaiwatsadu.com/th/sku/60293221,NASH ชุดเครื่องมือช่าง 69 ชิ้น,NASH,https://www.dohome.co.th/th/nash-hand-tools-set-69-pieces-10287204.html,https://www.dohome.co.th/th/nash-hand-tools-set-69-pieces-10287204.html,60,"Candidate 1 (NASH) is a preferred brand and the product type 'tool set' matches exactly. While the pack count is different (69 vs 54), it's the closest spec match among preferred brands and within a reasonable range for a tool set.",CORRECT
2,19,กล่องเครื่องมือพลาสติก GIANT KINGKONG รุ่น HL3055 ขนาด 16 นิ้ว สีดำ - เหลือง,GIANT KINGKONG,https://www.thaiwatsadu.com/th/sku/60212610,NASH กล่องเครื่องมือพลาสติก 16.5 นิ้ว รุ่น MJ20148,NASH,https://www.dohome.co.th/th/nash-plastic-tools-box-16-5-inch-no-mj20148-10223196.html,https://www.dohome.co.th/en/yoshino-plastic-tool-box-165-inch-jk04165-10376378.html,85,The candidate is a plastic tool box with a very similar size (16.5 inch vs 16 inch) and is from a preferred brand (NASH).,GT_MISSING
