chunk,source_idx,source_name,source_brand,source_url,target_name,target_brand,target_url,expected_url,confidence,reason,gt_status
1,0,ชั้นตะแกรงเหล็กอเนกประสงค์ 5 ชั้น Rocky KASSA HOME รุ่น A2527-MBK ขนาด 90 x 45 x 180 ซม. สีดำ,KASSA HOME,https://www.thaiwatsadu.com/th/sku/60387808,HAWDD ชั้นวางของเหล็กโล่ง 5 ชั้น รุ่น ROHAN-90 ขนาด 45x90x180ซม. สีดำ,HAWDD,https://globalhouse.co.th/product/HAWDD-%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B8%A7%E0%B8%B2%E0%B8%87%E0%B8%82%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%AB%E0%B8%A5%E0%B9%87%E0%B8%81%E0%B9%82%E0%B8%A5%E0%B9%88%E0%B8%87-5-%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99-%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99-ROHAN90-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-45x90x180%E0%B8%8B%E0%B8%A1.-%E0%B8%AA%E0%B8%B5%E0%B8%94%E0%B8%B3-i.5722008180557,https://globalhouse.co.th/product/HAWDD-%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B8%A7%E0%B8%B2%E0%B8%87%E0%B8%82%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%AB%E0%B8%A5%E0%B9%87%E0%B8%81%E0%B9%82%E0%B8%A5%E0%B9%88%E0%B8%87-5-%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99-%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99-ROHAN90-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-45x90x180%E0%B8%8B%E0%B8%A1.-%E0%B8%AA%E0%B8%B5%E0%B8%94%E0%B8%B3-i.5722008180557,85,Highest spec match (84%) among preferred brands and correct product type. Dimensions are reversed but numerically identical.,CORRECT
1,1,ยางหนุนล้อรถยนต์ GIANT KINGKONG รุ่น 9081 ขนาด 19 x 15 x 10 ซม. สีดำ,GIANT KINGKONG,https://www.thaiwatsadu.com/th/sku/60302727,PROTX ยางห้ามล้อแบบสามเหลี่ยม 10x20x15cm. รุ่นWC-01 สีดำ,PROTX,https://globalhouse.co.th/product/PROTX-%E0%B8%A2%E0%B8%B2%E0%B8%87%E0%B8%AB%E0%B9%89%E0%B8%B2%E0%B8%A1%E0%B8%A5%E0%B9%89%E0%B8%AD%E0%B9%81%E0%B8%9A%E0%B8%9A%E0%B8%AA%E0%B8%B2%E0%B8%A1%E0%B9%80%E0%B8%AB%E0%B8%A5%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A1-10x20x15cm.-%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99WC01-%E0%B8%AA%E0%B8%B5%E0%B8%94%E0%B8%B3-i.5922008040152,https://globalhouse.co.th/product/PROTX-%E0%B8%A2%E0%B8%B2%E0%B8%87%E0%B8%AB%E0%B9%89%E0%B8%B2%E0%B8%A1%E0%B8%A5%E0%B9%89%E0%B8%AD%E0%B9%81%E0%B8%9A%E0%B8%9A%E0%B8%AA%E0%B8%B2%E0%B8%A1%E0%B9%80%E0%B8%AB%E0%B8%A5%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A1-10x20x15cm.-%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99WC01-%E0%B8%AA%E0%B8%B5%E0%B8%94%E0%B8%B3-i.5922008040152,60,"The candidate has the correct product type, is from a preferred brand, and has the closest dimensions (10x20 cm) compared to the source (19x15x10 cm), though the dimensions are not an exact match.",CORRECT
1,3,ถังขยะใหญ่ฝาช่องทิ้ง GIANT KINGKONG รุ่น LXD-240CG Blue ความจุ 240 ลิตร สีน้ำเงิน,GIANT KINGKONG,https://www.thaiwatsadu.com/th/sku/60294820,ICLEAN ถังขยะเทศบาลฝาสวิงทรงเหลี่ยม 240 ลิตร รุ่น XDL-240A-9G สีเขียว (ขยะเปียก),ICLEAN,https://globalhouse.co.th/product/ICLEAN-%E0%B8%96%E0%B8%B1%E0%B8%87%E0%B8%82%E0%B8%A2%E0%B8%B0%E0%B9%80%E0%B8%97%E0%B8%A8%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B8%9D%E0%B8%B2%E0%B8%AA%E0%B8%A7%E0%B8%B4%E0%B8%87%E0%B8%97%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%AB%E0%B8%A5%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A1-240-%E0%B8%A5%E0%B8%B4%E0%B8%95%E0%B8%A3-%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99-XDL240A9G-%E0%B8%AA%E0%B8%B5%E0%B9%80%E0%B8%82%E0%B8%B5%E0%B8%A2%E0%B8%A7-%E0%B8%82%E0%B8%A2%E0%B8%B0%E0%B9%80%E0%B8%9B%E0%B8%B5%E0%B8%A2%E0%B8%81-i.6122004360011,https://globalhouse.co.th/product/ICLEAN-%E0%B8%96%E0%B8%B1%E0%B8%87%E0%B8%82%E0%B8%A2%E0%B8%B0%E0%B9%80%E0%B8%97%E0%B8%A8%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B8%9D%E0%B8%B2%E0%B8%AA%E0%B8%A7%E0%B8%B4%E0%B8%87%E0%B8%97%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%AB%E0%B8%A5%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A1-240-%E0%B8%A5%E0%B8%B4%E0%B8%95%E0%B8%A3-%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99-XDL240A9G-%E0%B8%AA%E0%B8%B5%E0%B9%80%E0%B8%82%E0%B8%B5%E0%B8%A2%E0%B8%A7-%E0%B8%82%E0%B8%A2%E0%B8%B0%E0%B9%80%E0%B8%9B%E0%B8%B5%E0%B8%A2%E0%B8%81-i.6122004360011,95,"The candidate is the same product type (trash can) and has identical volume (240 L) to the source, despite having a different model and color.",CORRECT
1,4,กล่องอเนกประสงค์พร้อมล้อและฝาล็อก 100 ลิตร Camping KASSA HOME รุ่น JCJ-5519 สีครีม,KASSA HOME,https://www.thaiwatsadu.com/sku/60420363,JCJ กล่องเก็บของ 100L มีล้อ S55 Plus ขนาด 45.9x46.8x45.7cm. รุ่น 5519 สีเบจ,JCJ,https://globalhouse.co.th/product/JCJ-%E0%B8%81%E0%B8%A5%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%81%E0%B9%87%E0%B8%9A%E0%B8%82%E0%B8%AD%E0%B8%87-100L-%E0%B8%A1%E0%B8%B5%E0%B8%A5%E0%B9%89%E0%B8%AD-S55-Plus-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-45.9x46.8x45.7cm.-%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99-5519-%E0%B8%AA%E0%B8%B5%E0%B9%80%E0%B8%9A%E0%B8%88-i.8852080055195,,100,"The candidate is a perfect spec match for volume and model, and belongs to a preferred brand (JCJ).",NO_GT
1,5,ชุดโต๊ะสนามเหล็กลายฉลุ FONTE รุ่น JSD23267-68 (ชุด 3 ชิ้น) สีขาว,FONTE,https://www.thaiwatsadu.com/th/sku/60395217,SUMMER SET ชุดโต๊ะสนาม 2 ที่นั่งTIMOTHY ขนาด 62×62×73ซม. รุ่นTY001 สีเบจ,SUMMER SET,https://globalhouse.co.th/product/SUMMER-SET-%E0%B8%8A%E0%B8%B8%E0%B8%94%E0%B9%82%E0%B8%95%E0%B9%8A%E0%B8%B0%E0%B8%AA%E0%B8%99%E0%B8%B2%E0%B8%A1--2-%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%99%E0%B8%B1%E0%B9%88%E0%B8%87TIMOTHY-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-62%C3%9762%C3%9773%E0%B8%8B%E0%B8%A1.-%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99TY001-%E0%B8%AA%E0%B8%B5%E0%B9%80%E0%B8%9A%E0%B8%88-i.5722006080330,https://globalhouse.co.th/product/SUMMER-SET-%E0%B8%8A%E0%B8%B8%E0%B8%94%E0%B9%82%E0%B8%95%E0%B9%8A%E0%B8%B0%E0%B8%AA%E0%B8%99%E0%B8%B2%E0%B8%A1--2-%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%99%E0%B8%B1%E0%B9%88%E0%B8%87TIMOTHY-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-62%C3%9762%C3%9773%E0%B8%8B%E0%B8%A1.-%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99TY001-%E0%B8%AA%E0%B8%B5%E0%B9%80%E0%B8%9A%E0%B8%88-i.5722006080330,75,"The candidate has the exact matching product type 'outdoor table set' and is from a preferred brand (SUMMER SET) although its spec match is 0%, making it the most suitable option among the given candidates.",CORRECT
1,7,ลูกกลิ้งทาสี GIANT KINGKONG รุ่น HP 10 ขนาด 10 นิ้ว,GIANT KINGKONG,https://www.thaiwatsadu.com/th/sku/60219887,HUMMER ลูกกลิ้งทาสี พร้อมด้าม(G-014) รุ่น DTPT371 สีเหลือง-ดำ 10นิ้ว,HUMMER,https://globalhouse.co.th/product/HUMMER-%E0%B8%A5%E0%B8%B9%E0%B8%81%E0%B8%81%E0%B8%A5%E0%B8%B4%E0%B9%89%E0%B8%87%E0%B8%97%E0%B8%B2%E0%B8%AA%E0%B8%B5-%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%94%E0%B9%89%E0%B8%B2%E0%B8%A1G014-%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99-DTPT371-%E0%B8%AA%E0%B8%B5%E0%B9%80%E0%B8%AB%E0%B8%A5%E0%B8%B7%E0%B8%AD%E0%B8%87%E0%B8%94%E0%B8%B3-10%E0%B8%99%E0%B8%B4%E0%B9%89%E0%B8%A7-i.6022001930371,https://globalhouse.co.th/product/Hummer-%E0%B8%A5%E0%B8%B9%E0%B8%81%E0%B8%81%E0%B8%A5%E0%B8%B4%E0%B9%89%E0%B8%87%E0%B8%97%E0%B8%B2%E0%B8%AA%E0%B8%B5-%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%94%E0%B9%89%E0%B8%B2%E0%B8%A1-10%E0%B8%99%E0%B8%B4%E0%B9%89%E0%B8%A7-Light-yellow-%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99-SOM010-i.5922005602544,95,"The candidate is a 'paint roller' from a preferred brand (HUMMER) and has a 100% spec match, including the critical 10-inch size.",INCORRECT
1,8,เก้าอี้บาร์สตูลขาไม้ KASSA รุ่น 1886AA-W สีขาว,KASSA,https://www.thaiwatsadu.com/th/sku/60338027,PULITO เก้าอี้บาร์ มีพนักพิง รุ่น Channe สีขาว,PULITO,https://globalhouse.co.th/product/detail/6422005910278,https://globalhouse.co.th/product/detail/6422005910278,70,"The candidate is a 'bar chair' which is a very close product type to 'bar stool', and the brand 'PULITO' is the highest preferred brand. While the model number doesn't match, the product type is the closest and the brand is preferred.",CORRECT
1,9,รถเข็นปูนล้อคู่แมกซ์ 12 นิ้ว GIANT KINGKONG รุ่น HB4511Aขนาด 65 ลิตร (250 กก.) สีส้ม,GIANT KINGKONG,https://www.thaiwatsadu.com/th/sku/60321429,MARTON รถเข็นปูนโครงปั๊มล้อเดี่ยว ล้อแม็กซ์ 12 นิ้ว ขนาดบรรจุ 55 ลิตร สีแดง,MARTON,https://globalhouse.co.th/product/MARTON-%E0%B8%A3%E0%B8%96%E0%B9%80%E0%B8%82%E0%B9%87%E0%B8%99%E0%B8%9B%E0%B8%B9%E0%B8%99%E0%B9%82%E0%B8%84%E0%B8%A3%E0%B8%87%E0%B8%9B%E0%B8%B1%E0%B9%8A%E0%B8%A1%E0%B8%A5%E0%B9%89%E0%B8%AD%E0%B9%80%E0%B8%94%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7-%E0%B8%A5%E0%B9%89%E0%B8%AD%E0%B9%81%E0%B8%A1%E0%B9%87%E0%B8%81%E0%B8%8B%E0%B9%8C-12-%E0%B8%99%E0%B8%B4%E0%B9%89%E0%B8%A7-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94%E0%B8%9A%E0%B8%A3%E0%B8%A3%E0%B8%88%E0%B8%B8-55-%E0%B8%A5%E0%B8%B4%E0%B8%95%E0%B8%A3-%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%AB%E0%B8%99%E0%B8%B1%E0%B8%81%E0%B9%84%E0%B8%94%E0%B9%89-80kg.-%E0%B8%AA%E0%B8%B5%E0%B9%81%E0%B8%94%E0%B8%87-i.8859229140017,https://globalhouse.co.th/product/TUF-%E0%B8%A3%E0%B8%96%E0%B9%80%E0%B8%82%E0%B9%87%E0%B8%99%E0%B8%9B%E0%B8%B9%E0%B8%99%E0%B8%A5%E0%B9%89%E0%B8%AD%E0%B8%84%E0%B8%B9%E0%B9%88-%E0%B8%A5%E0%B9%89%E0%B8%AD%E0%B8%95%E0%B8%B1%E0%B8%99-%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99-HB4511AO-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-670x1230x620mm.-%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%AB%E0%B8%99%E0%B8%B1%E0%B8%81250kg.65%E0%B8%A5%E0%B8%B4%E0%B8%95%E0%B8%A3-%E0%B8%AA%E0%B8%B5%E0%B9%80%E0%B8%82%E0%B8%B5%E0%B8%A2%E0%B8%A7-i.5922006760090,75,"Candidate 2 is the only alternative of product type 'wheelbarrow' and has a similar size (12 inch) and volume (55 L vs 65 L) to the source product, resulting in the highest SpecMatch for a valid product type.",INCORRECT
1,10,ถังขยะทั่วไปฝาโดมสวิงพลาสติก KASSA HOME รุ่น API199 ขนาด 118 ลิตร สีดำ - น้ำเงิน,KASSA HOME,https://www.thaiwatsadu.com/th/sku/60335220,API ถังขยะกลม ฝาโดมสวิง 118L ขนาด 57x57x91cm. รุ่น #199 สีน้ำเงิน,API,https://globalhouse.co.th/product/API-%E0%B8%96%E0%B8%B1%E0%B8%87%E0%B8%82%E0%B8%A2%E0%B8%B0%E0%B8%81%E0%B8%A5%E0%B8%A1-%E0%B8%9D%E0%B8%B2%E0%B9%82%E0%B8%94%E0%B8%A1%E0%B8%AA%E0%B8%A7%E0%B8%B4%E0%B8%87-118L-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-57x57x91cm.-%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99-199-%E0%B8%AA%E0%B8%B5%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B9%80%E0%B8%87%E0%B8%B4%E0%B8%99-i.8853228016788,https://globalhouse.co.th/product/API-%E0%B8%96%E0%B8%B1%E0%B8%87%E0%B8%82%E0%B8%A2%E0%B8%B0%E0%B8%81%E0%B8%A5%E0%B8%A1-%E0%B8%9D%E0%B8%B2%E0%B9%82%E0%B8%94%E0%B8%A1%E0%B8%AA%E0%B8%A7%E0%B8%B4%E0%B8%87-118L-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-57x57x91cm.-%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99-199-%E0%B8%AA%E0%B8%B5%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B9%80%E0%B8%87%E0%B8%B4%E0%B8%99-i.8853228016788,95,"The candidate is a trash bin with identical volume and model number to the source trash can, despite being a different brand.",CORRECT
1,11,ตะแกรงปิ้งย่างสเตนเลส ด้ามไม้ KASSA HOME รุ่น TD0601-16 สีเงิน,KASSA HOME,https://www.thaiwatsadu.com/sku/60326863,SANE เหล็กปิ้งย่าง 33x66x56 ซม. DSK019,SANE,https://globalhouse.co.th/product/SANE-%E0%B9%80%E0%B8%AB%E0%B8%A5%E0%B9%87%E0%B8%81%E0%B8%9B%E0%B8%B4%E0%B9%89%E0%B8%87%E0%B8%A2%E0%B9%88%E0%B8%B2%E0%B8%87-33x66x56-%E0%B8%8B%E0%B8%A1.-DSK019-i.1905170538575,,70,"Candidate 4 is a grill (เหล็กปิ้งย่าง), which is a very close product type to a grill rack (ตะแกรงปิ้งย่าง) and has the highest SpecMatch for a preferred brand, SANE, among the actual grill products. While not a perfect type match, it's the closest available within preferred brands.",NO_GT
