chunk,source_idx,source_name,source_brand,source_url,target_name,target_brand,target_url,expected_url,confidence,reason,gt_status
1,1,แปรงทาสีขนสัตว์ ด้ามพลาสติก GIANT KINGKONG รุ่น BPB08 ขนาด 4 นิ้ว สีน้ำตาล,GIANT KINGKONG,https://www.thaiwatsadu.com/th/sku/60342251,แปรงทาสีน้ำมัน FONKEY 4 นิ้ว,FONKEY,https://www.homepro.co.th/p/1158356,https://www.homepro.co.th/p/1158356,95,"Candidate is a paint brush of the same size, with a high SpecMatch% and no critical spec mismatches, although not a preferred brand.",CORRECT
1,2,ลำโพงบลูทูท 10 วัตต์ ZAGIO รุ่น ZG-85525 สีดำ,ZAGIO,https://www.thaiwatsadu.com/th/sku/60394838,ลำโพงบลูทูธ OZZIE H100 สีน้ำเงิน,OZZIE,https://www.homepro.co.th/p/1236064,https://www.homepro.co.th/p/1236064,75,"The source product is a bluetooth speaker and the candidate is also a bluetooth speaker. Although the SpecMatch is 0% based on wattage, OZZIE is a preferred brand and it is the only candidate that matches the critical product type.",CORRECT
1,6,เกรียงโป๊วสีเหล็กด้ามพลาสติก GIANT KINGKONG PRO รุ่น H36-1 ขนาด 1 นิ้ว สีน้ำเงิน,GIANT KINGKONG PRO,https://www.thaiwatsadu.com/th/sku/60292786,เกรียงโป๊วด้ามพลาสติก MATALL 1 นิ้ว,MATALL,https://www.homepro.co.th/p/1167119,https://www.homepro.co.th/p/1167119,95,"Candidate 0 is a MATALL brand (PREFERRED#1), has the exact same type 'spatula' and size '1 inch' as the source product, and has a 100% spec match.",CORRECT
1,7,ลูกกลิ้งทาสี GIANT KINGKONG รุ่น HP 10 ขนาด 10 นิ้ว,GIANT KINGKONG,https://www.thaiwatsadu.com/th/sku/60219887,ลูกกลิ้งทาสี MATALL 10 นิ้ว,MATALL,https://www.homepro.co.th/p/1181393,https://www.homepro.co.th/p/1181393,100,"The candidate is a paint roller of the preferred brand MATALL with identical size (10 inch) and roller type (FULL) specs, resulting in a 100% spec match.",CORRECT
1,8,โคมไฟหัวเสาภายนอก E27x1 LUZINO รุ่น IMAGINI RH1106A4(BK) สีดำ,LUZINO,https://www.thaiwatsadu.com/th/sku/60262131,ไฟหัวเสา CARINI 5018S/N สีดำ,CARINI,https://www.homepro.co.th/p/1074150,https://www.homepro.co.th/p/1003945,75,"The candidate is a 'POLE_LAMP' like the source, has a preferred brand 'CARINI', and the highest spec match at 40% among relevant products.",INCORRECT
1,10,สว่านไฟฟ้า 10 มม. GIANTTECH รุ่น BD6103 กำลัง 350 วัตต์ สีแดง - ดำ,GIANTTECH,https://www.thaiwatsadu.com/th/sku/60263210,สว่านไฟฟ้า MAKITA M011-M0600B 350 วัตต์,MAKITA,https://www.homepro.co.th/p/1162943,https://www.homepro.co.th/p/1177335,100,"The candidate is an electric drill with the identical wattage as the source product. Although not a preferred brand, it is the only candidate that matches the critical product type and has 100% spec match for wattage.",INCORRECT
1,11,วงกบประตู WPC KASSA รุ่น 100T-O2 ขนาด 80 x 200 ซม. สีออริจินอล,KASSA,https://www.thaiwatsadu.com/th/sku/60297313,วงกบประตูไม้สังเคราะห์ WPC ECO-DOOR 80x200 ซม. สีโอ๊ค,ECO-DOOR,https://www.homepro.co.th/p/1110489,https://www.homepro.co.th/p/1083200,95,"The candidate is a door frame of the same dimensions and material (WPC), with a 100% spec match, making it an excellent alternative despite not being a preferred brand.",INCORRECT
1,13,สายรัดสายไฟ GIANT KINGKONG รุ่น HT-3.6 x 200 8 นิ้ว ขนาด 3.6 x 200 8.0 นิ้ว (แพ็ค 100 ชิ้น) สีขาว,GIANT KINGKONG,https://www.thaiwatsadu.com/th/sku/60166198,เคเบิ้ลไทร์ ELEKTRA 8 นิ้ว สีขาว (100 เส้น),ELEKTRA,https://www.homepro.co.th/p/1092055,https://www.homepro.co.th/p/1092055,70,"The candidate is the same product type (cable tie), matches the critical 'size_inch' and 'pack_count' specifications, and has a good SpecMatch percentage. Although not a preferred brand, it is the only viable option among the preferred brands.",CORRECT
2,15,โคมไฟหัวเสาภายนอก E27x1 LUZINO รุ่น GD-BL10-E27-40 สีดำ - ใส,LUZINO,https://www.thaiwatsadu.com/th/sku/60402143,ไฟหัวเสา CARINI 5018S/N สีดำ,CARINI,https://www.homepro.co.th/p/1074150,https://www.homepro.co.th/p/1074150,75,"The candidate is the same product type (pole lamp) from the highest-ranked preferred brand (CARINI). Although the spec match percentage is 40% (below 50), the product type is critical and matches, and it is a preferred brand.",CORRECT
2,16,ถังขยะมีล้อและที่เหยียบ GIANT KINGKONG รุ่น YY-240C-BL ความจุ 240 ลิตร สีน้ำเงิน,GIANT KINGKONG,https://www.thaiwatsadu.com/th/sku/60278928,ถังขยะเหลี่ยมขาเหยียบ ฝาเปิด-ปิด ACCO 240 ลิตร สีน้ำเงิน,ACCO,https://www.homepro.co.th/p/1154473,https://www.homepro.co.th/p/1154473,100,"Candidate 0 is a trash can with the exact same volume (240 L) as the source, making it a perfect functional match. Although the brand is not preferred, the critical product type and key spec match are exact.",CORRECT
2,17,ผงขจัดท่ออุดตัน KASSA HOME ขนาด 375 กรัม สีขาว,KASSA HOME,https://www.thaiwatsadu.com/th/sku/60327954,ผงขจัดท่อตัน ACCO 375 กรัม,ACCO,https://www.homepro.co.th/p/1184261,https://www.homepro.co.th/p/1184261,70,"The source product is a 'drain cleaner powder' and candidate 8 (as well as 9) is also a 'drain cleaner powder'. Candidate 8 is from brand ACCO, which is a preferred brand (ranked #4).",CORRECT
2,18,ใบตัดเหล็ก 4 นิ้ว GIANTTECH รุ่น A60TBF2 ขนาด 100 x 1.0 x 16 มม.,GIANTTECH,https://www.thaiwatsadu.com/th/sku/60287092,ใบตัดเหล็กสแตนเลส MATALL 4 นิ้ว,MATALL,https://www.homepro.co.th/p/1154102,https://www.homepro.co.th/p/1154102,90,"Candidate 0 is a metal cutting disc, matches the critical product type, has a high SpecMatch% (78%) and is from the most preferred brand (MATALL).",CORRECT
2,19,กล่องอเนกประสงค์พร้อมล้อและฝาล็อก KASSA HOME รุ่น API-2006 ขนาด 42 ลิตร สีเทา,KASSA HOME,https://www.thaiwatsadu.com/th/sku/60322051,กล่องเก็บของ มีล้อ ฝาล็อค STACKO 2000 42 ลิตร สีขาว,STACKO,https://www.homepro.co.th/p/195587,https://www.homepro.co.th/p/195587,95,"The candidate is a storage box with the exact same volume (42 L) and is from the preferred brand STACKO, despite a different model number.",CORRECT
