megahome_name,megahome_brand,megahome_price,megahome_url,thaiwatsadu_name,thaiwatsadu_brand,thaiwatsadu_price,thaiwatsadu_url,text_similarity,issue
สีน้ำทาภายนอก NIPPON PAINT VINILEX BASE A SG 2.5GL,NIPPON PAINT,1430,https://www.megahome.co.th/p/1097900,สีน้ำกึ่งเงา ภายนอก NIPPON รุ่น วีนิเลกซ์ ขนาด 2.5 แกลลอน สีเบส A,NIPPON PAINT,1430,https://www.thaiwatsadu.com/th/sku/60293824,41.7,Low text similarity - different naming conventions
สีน้ำทาภายนอก NIPPON PAINT WEATHERBONDSHEEN BASE A 9L,NIPPON PAINT,2030,https://www.megahome.co.th/p/1170148,สีน้ำภายนอก NIPPON รุ่น เวเธอร์บอนด์ เนียน ขนาด 9 ลิตร เบส A,NIPPON PAINT,2030,https://www.thaiwatsadu.com/th/sku/60336105,44.2,Low text similarity - different naming conventions
สีน้ำทาภายนอก NIPPON PAINT WEATHERBONDFLEX 9L SG BASE A,NIPPON PAINT,2280,https://www.megahome.co.th/p/1170102,สีน้ำภายนอก NIPPON รุ่น เวเธอร์บอนด์ กึ่งเงา ขนาด 9 ลิตร เบส A,NIPPON PAINT,2230,https://www.thaiwatsadu.com/th/sku/60336113,44.4,Low text similarity - different naming conventions
สีรองพื้นอเนกประสงค์ NIPPON PAINT FLEXISEAL 10 กก.,NIPPON PAINT,1290,https://www.megahome.co.th/p/1085484,สีรองพื้นปูนเก่า ผนังภายนอก NIPPON รุ่น เฟล็กซี่ ซีล ขนาด 10 กก. สีขาว,NIPPON,1290,https://www.thaiwatsadu.com/th/sku/60281308,45.0,Low text similarity - different naming conventions
สีรองพื้นอเนกประสงค์ NIPPON PAINT FLEXISEAL 20 กก.,NIPPON PAINT,2090,https://www.megahome.co.th/p/290960,สีรองพื้นปูนเก่า ผนังภายนอก NIPPON รุ่น เฟล็กซี่ ซีล ขนาด 20 กก. สีขาว,NIPPON,2090,https://www.thaiwatsadu.com/th/sku/60207245,45.0,Low text similarity - different naming conventions
สีรองพื้นอเนกประสงค์ DULUX WEATHERSHIELD POWERPLUS HYDRO PRIMER 9 ลิตร,DULUX,1590,https://www.megahome.co.th/p/1173756,สีรองพื้นปูนอเนกประสงค์ สูตรน้ำ DULUX รุ่นเพาเวอร์พลัส ไฮโดรไพร์เมอร์ ขนาด 9 ลิตร สีขาว,DULUX,1530,https://www.thaiwatsadu.com/th/sku/60343961,45.9,Low text similarity - different naming conventions
สีน้ำทาภายใน BEGER BEGERSHIELD EASY CLEAN & CARE BASE A กึ่งเงา 2.5 แกลลอน,BEGER,1340,https://www.megahome.co.th/p/1247077,สีน้ำกึ่งเงา ภายใน 9 ลิตร BEGER รุ่น EASY CLEAN&CARE สีเบส A,BEGER,1330,https://www.thaiwatsadu.com/th/sku/60386126,46.3,Low text similarity - different naming conventions
สีรองพื้นอเนกประสงค์ TOPTECH COATFLEX 2.5GL,TOPTECH,1275,https://www.megahome.co.th/p/1127042,สีรองพื้นปูนอเนกประสงค์ DELTA รุ่นท็อปเทคโค้ดเฟล็ก ขนาด 2.5 แกลลอน สีขาว,DELTA,1280,https://www.thaiwatsadu.com/th/sku/60312088,47.0,Low text similarity - different naming conventions
น้ำมันสน TOA SHARKS 1 แกลลอน,TOA,195,https://www.megahome.co.th/p/15075,น้ำมันสน SHARK รุ่นกระป๋อง ขนาด 2.3 กก. สีใส (#0TUR),SHARK,183,https://www.thaiwatsadu.com/th/sku/60001739,47.5,Low text similarity - different naming conventions
สีรองพื้นอเนกประสงค์ DULUX POWERPLUS 5 แกลลอน,DULUX,2750,https://www.megahome.co.th/p/245704,สีรองพื้นปูนเก่า DULUX รุ่น เวเธอร์ชีลด์พาวเวอร์พลัส 1000 ขนาด 5 แกลลอน สี A5421000 ขาว,DULUX,2750,https://www.thaiwatsadu.com/th/sku/60117399,47.5,Low text similarity - different naming conventions
