megahome_name,megahome_url,expected_name,expected_url,matched_name,matched_url
วงกบประตูไม้สังเคราะห์ WPC ECO-DOOR 80x200 ซม. สีขาว,https://www.megahome.co.th/p/1110609,วงกบประตู WPC ECO DOOR รุ่น WVSM-100 ขนาด 80 x 200 ซม. สีขาว,https://www.thaiwatsadu.com/th/sku/60262061,วงกบประตู WPC ECO DOOR รุ่น WR-100 ขนาด 80 x 200 ซม. สีขาว,https://www.thaiwatsadu.com/th/sku/60345723
สีน้ำทาภายนอก ชนิดกึ่งเงา JOTUN JOTASHIELD ANTIFADE BASE A 2.5 แกลลอน,https://www.megahome.co.th/p/1103963,สีน้ำภายนอกกึ่งเงา JOTUN รุ่น JOTASHIELD AF ขนาด 9 ลิตร สีเบส A,https://www.thaiwatsadu.com/th/sku/60222798,สีน้ำภายนอกเนียน JOTUN รุ่น โจตาชิลด์เฟล็กซ์ ขนาด 2.5 แกลลอน สีเบส A,https://www.thaiwatsadu.com/th/sku/60000823
สีน้ำทาภายนอก ชนิดกึ่งเงา JOTUN TOUGH SHIELD BASE A สีขาว 9 ลิตร,https://www.megahome.co.th/p/1195079,สีน้ำภายนอกกึ่งเงา JOTUN รุ่น TOUGH SHIELD ขนาด 2.5 แกลลอน สีเบส A,https://www.thaiwatsadu.com/th/sku/60364353,สีน้ำภายนอกกึ่งเงา JOTUN รุ่น JOTASHIELD AF ขนาด 9 ลิตร สีเบส A,https://www.thaiwatsadu.com/th/sku/60222798
สีน้ำทาฝ้า BEGER AIR FRESH PG-1000 ด้าน 9 ลิตร สีขาว,https://www.megahome.co.th/p/1157804,สีน้ำกึ่งเงา ภายใน 9 ลิตร BEGER รุ่น AIRFRESH GOLD ION สีเบส A,https://www.thaiwatsadu.com/th/sku/60324898,สีทาฝ้าเพดาน Delight BEGER รุ่น I-3333 ขนาด 5 แกลอน สีขาว,https://www.thaiwatsadu.com/th/sku/60114195
สีน้ำทาภายนอก ชนิดกึ่งเงา BEGER COOL DIAMONDSHIELD 15 BASE A 2.5 แกลลอน,https://www.megahome.co.th/p/1050126,สีน้ำเนียน ภายนอก 9 ลิตร BEGER รุ่น COOL DIAMONDSHIELD เกรด 15 ปี สีเบส A,https://www.thaiwatsadu.com/th/sku/60262257,สีน้ำกึ่งเงา ภายนอก 9 ลิตร BEGER รุ่น COOL DIAMONDSHIELD เกรด 15 ปี สีเบส A,https://www.thaiwatsadu.com/th/sku/60262249
สีน้ำทาภายนอก BEGERCOOL DIAMONDSHIELD 15 #SW-8800 สี SUPER WHITE เนียน 2.5 แกลลอน,https://www.megahome.co.th/p/1220581,สีน้ำกึ่งเงา ภายนอก 9 ลิตร BEGER รุ่น COOL DIAMONDSHIELD เกรด 15 ปี GW8800 สีซูเปอร์ไวท์,https://www.thaiwatsadu.com/th/sku/60373366,สีน้ำกึ่งเงา เนียน ภายนอก 9 ลิตร BEGER รุ่น COOL DIAMONDSHIELD เกรด 15 ปี SW8800 สีซูเปอร์ไวท์,https://www.thaiwatsadu.com/th/product/60373368
สีรองพื้นปูนอเนกประสงค์ JBP SUPREME PRIMER 2900 15 ลิตร,https://www.megahome.co.th/p/1224928,สีรองพื้นปูนใหม่ JBP รุ่น SUPREME PRIMER ขนาด 2.5 แกลลอน สีขาว,https://www.thaiwatsadu.com/th/sku/60303318,สีรองพื้นปูนอเนกประสงค์ JBP รุ่น Supreme Primer ขนาด 15 ลิตร สีขาว #2900,https://www.thaiwatsadu.com/th/sku/60376646
สีรองพื้นอเนกประสงค์ NIPPON PAINT FLEXISEAL 10 กก.,https://www.megahome.co.th/p/1085484,สีรองพื้นปูนเก่า ผนังภายนอก NIPPON รุ่น เฟล็กซี่ ซีล ขนาด 10 กก. สีขาว,https://www.thaiwatsadu.com/th/sku/60281308,สีรองพื้นปูนใหม่ สูตรน้ำมัน NIPPON รุ่น ควิก ซิลเลอร์ ขนาด 5 แกลลอน สีขาว,https://www.thaiwatsadu.com/th/sku/60386222
สีรองพื้นอเนกประสงค์ NIPPON PAINT FLEXISEAL 20 กก.,https://www.megahome.co.th/p/290960,สีรองพื้นปูนเก่า ผนังภายนอก NIPPON รุ่น เฟล็กซี่ ซีล ขนาด 20 กก. สีขาว,https://www.thaiwatsadu.com/th/sku/60207245,สีรองพื้นปูนใหม่ สูตรน้ำมัน NIPPON รุ่น ควิก ซิลเลอร์ ขนาด 5 แกลลอน สีขาว,https://www.thaiwatsadu.com/th/sku/60386222
โพลียูรีเทนภายนอก BEGER 1K SUPREME OUTDOOR PM9800 สีใส ด้าน 3 ลิตร,https://www.megahome.co.th/p/1198027,โพลียูรีเทน 1K BEGER รุ่น ซูพรีม PG-9900 ขนาด 3 ลิตร สีใส เงา,https://www.thaiwatsadu.com/th/sku/60361802,โพลียูรีเทน 1K BEGER รุ่น ซูพรีม PM-9800 ขนาด 3 ลิตร สีใส ด้าน,https://www.thaiwatsadu.com/th/sku/60361804
ไม้พื้น WPC แบบตัน THAISUN 3D 2X14X240 ซม. สีสัก,https://www.megahome.co.th/p/1230910,ไม้พื้น ลายร่อง-ลายไม้ WPC THAISUN ขนาด 13.5 x 240 x 2.5 ซม.. สีโอ๊ก,https://www.thaiwatsadu.com/th/sku/60415936,ไม้พื้น WPC THAISUN รุ่น ลายร่อง-ลายไม้ ขนาด 13.5 x 240 x 2.5 ซม. สีสัก,https://www.thaiwatsadu.com/th/sku/60375385
