status,source_name,source_url,expected_twd_name,expected_twd_url,matched_twd_name,matched_twd_url,confidence
CORRECT,BARCO ทินเนอร์ 11 กก. รุ่น AAA (ปี๊บ),https://www.dohome.co.th/th/barco-thinner-11kg-no-aaa-bucket-10309878.html,ทินเนอร์ BARCO รุ่น AAA ขนาด 11 กก. (ปิ๊บ),https://www.thaiwatsadu.com/th/sku/60001575,ทินเนอร์ BARCO รุ่น AAA ขนาด 11 กก. (ปิ๊บ),https://www.thaiwatsadu.com/th/sku/60001575,100
CORRECT,TOA ทินเนอร์ผสมแล็คเกอร์ มอก รุ่น 71 3.7 ลิตร,https://www.dohome.co.th/th/toa-thinner-no-r-71-10001912.html?srsltid=AfmBOoreokzTVQz-9YpwPzdDMUQbe2H6lpb7gb0ROb9ULPI_ORUQosxy,ทินเนอร์ แลคเกอร์ TOA รุ่น 71 ขนาด 1 แกลอน สีใส #0071,https://www.thaiwatsadu.com/th/sku/60001668,ทินเนอร์ แลคเกอร์ TOA รุ่น 71 ขนาด 1 แกลอน สีใส #0071,https://www.thaiwatsadu.com/th/sku/60001668,100
CORRECT,BEGER ทินเนอร์ผสมสีย้อมไม้ รุ่น M-1199 1 แกลลอน,https://www.dohome.co.th/th/beger-thinner-no-m-1199-10001974.html?srsltid=AfmBOorSZgKnneUzAgHxcRBMBZqu857acxbq2IIPMORpsFZPWteK3AnW,ทินเนอร์สีย้อมไม้ BEGER รุ่น M-1199 ขนาด 1 แกลอน,https://www.thaiwatsadu.com/th/sku/60001610,ทินเนอร์สีย้อมไม้ BEGER รุ่น M-1199 ขนาด 1 แกลอน,https://www.thaiwatsadu.com/th/sku/60001610,100
CORRECT,TOA ปลาฉลาม น้ำมันสน 2.3 กก.,https://www.dohome.co.th/th/toa-shark-turpentine-oil-2-3-kg-10414575.html?srsltid=AfmBOooM8TEGzEyBe7TI8PkiMICk3LVMhuQXyKLJlL2_FgQUVzFDxImT,น้ำมันสน SHARK รุ่นกระป๋อง ขนาด 2.3 กก. สีใส (#0TUR),https://www.thaiwatsadu.com/th/sku/60001739,น้ำมันสน SHARK รุ่นกระป๋อง ขนาด 2.3 กก. สีใส (#0TUR),https://www.thaiwatsadu.com/th/sku/60001739,100
CORRECT,CAPTAIN สีรองพื้นปูนเก่า REPAINT 5 แกลลอน,https://www.dohome.co.th/th/captain-old-cement-floor-primer-repaint-5-gal-10127354.html,น้ำยาปรับสภาพปูนเก่า REPAINT รุ่น 2000 ขนาด 5 แกลลอน สีขาว,https://www.thaiwatsadu.com/th/sku/60165342,น้ำยาปรับสภาพปูนเก่า REPAINT รุ่น 2000 ขนาด 5 แกลลอน สีขาว,https://www.thaiwatsadu.com/th/sku/60165342,95
CORRECT,TOA สีรองพื้นปูนเก่า 4 SEASONS 5 แกลลอน,https://www.dohome.co.th/th/toa-old-cement-floor-primer-4-seasons-5-gal-10083535.html,น้ำยารองพื้นปูนเก่า TOA รุ่น 4 Seasons ขนาด 5 แกลลอน สี 0CON ใส,https://www.thaiwatsadu.com/th/sku/60161797,น้ำยารองพื้นปูนเก่า TOA รุ่น 4 Seasons ขนาด 5 แกลลอน สี 0CON ใส,https://www.thaiwatsadu.com/th/sku/60161797,100
CORRECT,BEGER ยูนีซ็อฟ น้ำยาลอกสี (แกลลอน),https://www.dohome.co.th/th/beger-unisof-paint-remover-gallon-10327701.html?srsltid=AfmBOopx-jNdbvxCxruDDMJJ92NPQA_EmSraQ4zlr9huzi24t-yeNYLh,น้ำยาลอกสี (ยูนีซ็อฟ) BEGER ขนาด 1 แกลลอน,https://www.thaiwatsadu.com/th/sku/60001122,น้ำยาลอกสี (ยูนีซ็อฟ) BEGER ขนาด 1 แกลลอน,https://www.thaiwatsadu.com/th/sku/60001122,100
CORRECT,TOA น้ำยาลอกสี แกลลอน,https://www.dohome.co.th/th/toa-paint-remover-gal-10012685.html?srsltid=AfmBOoo9Aua8rIJHitMpFgTrdLWmNqgvuVOhGUcA1vehtXtGbEW_vlJQ,น้ำยาลอกสี TOA ขนาด 1 แกลอน สีใส #0REM,https://www.thaiwatsadu.com/th/sku/60001143,น้ำยาลอกสี TOA ขนาด 1 แกลอน สีใส #0REM,https://www.thaiwatsadu.com/th/sku/60001143,100
CORRECT,TOA น้ำยาเคลื่อบใสกันซึม รุ่น 100 1 แกลลอน,https://www.dohome.co.th/th/toa-liquid-varnishes-no-100-10170455.html,น้ำยาเคลือบเงาใสกันซึม TOA รุ่น 100 ขนาด 1 แกลลอน สี Gloss,https://www.thaiwatsadu.com/th/sku/60225255,น้ำยาเคลือบเงาใสกันซึม TOA รุ่น 100 ขนาด 1 แกลลอน สี Gloss,https://www.thaiwatsadu.com/th/sku/60225255,100
CORRECT,METRO ประตูลูกฟัก HDF ขนาด 80x200 ซม. รุ่น 202 ลาย ชัยพฤกษ์ สีขาว,https://www.dohome.co.th/th/hdf-mullion-door-size-80-x-200-cm-no-202-chaiyapruek-10025203.html,ประตูภายใน HDF 2 ลูกฟัก METRO รุ่น 202 ชัยพฤกษ์ ขนาด 80 x 200 ซม. สีรองพื้นขาว (ไม่เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60394518,ประตูภายใน HDF 2 ลูกฟัก METRO รุ่น 202 ชัยพฤกษ์ ขนาด 80 x 200 ซม. สีรองพื้นขาว (ไม่เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60394518,100
