status,source_name,source_url,expected_twd_name,expected_twd_url,matched_twd_name,matched_twd_url,confidence
INCORRECT,POLY TIMBER ประตู PVC 70x200 ซม. รุ่น 2 สีเทา มอก. (เจาะ),https://www.dohome.co.th/th/poly-timber-pvc-door-tis-70-x-200-cm-no-2-grey-punched-10141052.html,ประตูภายใน PVC บานเกล็ดล่างพร้อมวงกบ D.D.DOOR รุ่น P2 ขนาด 70 x 200 ซม. สีเทา (เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60201619,ประตูภายใน PVC BATHIC รุ่น BP1 ขนาด 70 x 200 ซม. สีเทา (เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60328866,95
INCORRECT,RAKANGTHONG ประตูไวนิล 2 บาน พร้อมมุ้ง 160x205 ซม. สีขาว,https://www.dohome.co.th/th/rakangthong-2-vinyl-doors-mosquito-net-160x205cm-white-10391233.html,ประตูอะลูมิเนียม บานเลื่อน 2 ช่อง พร้อมมุ้งลวด WINKING รุ่น WKALWDG ขนาด 160 x 205 ซม. สีขาว,https://www.thaiwatsadu.com/th/sku/60295535,ประตูบานเลื่อน 2 บาน UPVC พร้อมมุ้งลวด WINSTAR ขนาด 160 x 205 ซม. สีขาว,https://www.thaiwatsadu.com/th/sku/60334808,95
INCORRECT,ECO DOOR ประตู UPVC ภายนอก มอก. 80x200 ซม. รุ่น UGW สีขาว (เจาะ),https://www.dohome.co.th/th/upvc-grooved-doorprofile-80-x-200-cm-tlw-punched-10334582.html,ประตูภายนอก UPVC ECO DOOR รุ่น TLW ขนาด 80 x 200 ซม. สีขาว (เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60387911,ประตูภายนอก UPVC กระจก ECO DOOR รุ่น D1-WG ขนาด 80 x 200 ซม. สีขาว (เจาะลูกบิด),https://www.thaiwatsadu.com/sku/60425233,80
INCORRECT,ECODOOR ประตู UPVC ภายนอก 80x200 ซม. รุ่น 4 สีขาว (ไม่เจาะ),https://www.dohome.co.th/th/eco-door-exterior-upvc-door-80x200cm-4-white-10344257.html,ประตูภายนอก UPVC ECO DOOR รุ่น UPVC4 ขนาด 80 x 200 ซม. สีขาว (ไม่เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60255380,ประตูภายนอก UPVC ECO DOOR รุ่น UPVC2 ขนาด 80 x 200 ซม. สีขาว (ไม่เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60255374,95
INCORRECT,METRO ประตูลูกฟัก HDF ขนาด 80 x 200 ซม. รุ่น 401 ลาย กัลปพฤกษ์ สีขาว,https://www.dohome.co.th/th/hdf-mullion-door-size-80-x-200-cm-no-401-kalpapruek-10025213.html,ประตูภายใน 4 ลูกฟัก HDF วนชัย รุ่น ศรีวิชัย ขนาด 80 x 200 ซม. สีรองพื้นขาว (ไม่เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60110463,ประตูภายใน HDF 2 ลูกฟัก METRO รุ่น 202 ชัยพฤกษ์ ขนาด 80 x 200 ซม. สีรองพื้นขาว (ไม่เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60394518,95
INCORRECT,RAKANGTHONG ประตู HDF 80x200 ซม. โมเดิร์น รุ่น F03 สีเทาอ่อน,https://www.dohome.co.th/th/rakangthong-hdf-door-80x200cm-modern-no-f04-light-grey-10406581.html,ประตูภายใน HDF HI DOOR รุ่น HD-2 ขนาด 80 x 200 สีทูโทนเทา (เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60421987,ประตูภายใน HDF METRO รุ่น 204 สุพรรณิการ์ ขนาด 80 x 200 ซม. สีรองพื้นขาว (ไม่เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60361767,90
INCORRECT,EXTERA ประตูUPVCภายนอก 80x200 ซม. รุ่น L23 สีขาว (เจาะลูกบิด),https://www.dohome.co.th/th/extera-upvc-door-80-x-200-cm-2-mullion-louis-et02-punched-10187283.html,ประตูภายใน UPVC Revo 2 ลูกฟัก MASTERWOOD รุ่น MI02 ขนาด 80 x 200 ซม. สีขาว (เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60301473,ประตูภายนอก UPVC MASTERWOOD รุ่น MN002 ขนาด 80 x 200 ซม. สีขาว (เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60084152,90
INCORRECT,EXTERA ประตู UPVC 80x200 ซม. รุ่น L05-G5C สีเทา (แบบเจาะ),https://www.dohome.co.th/th/poly-timber-upvc-door-80x200-cm-l05-g5c-silver-greywood-10300966.html,ประตูภายใน UPVC เซาะร่อง CONNEX รุ่น LT13 ขนาด 80 x 200 ซม. สีลัตเต (เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60308766,ประตูภายนอก UPVC MASTERWOOD รุ่น MBR004 ขนาด 80 x 200 ซม. สีเทา (เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60387999,95
INCORRECT,ECODOOR ประตูWPCภายใน 80x200 ซม. รุ่น WP3 สีครีม (ไม่เจาะลูกบิด),https://www.dohome.co.th/th/wpc-interior-door-80x200-cm-no-wp4-cream-color-no-drilling-10408552.html,ประตูภายใน WPC ECO DOOR รุ่น WP4 ขนาด 80 x 200 ซม. สีครีม (ไม่เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60416140,ประตูภายใน WPC ECO DOOR รุ่น WP3 ขนาด 80 x 200 ซม. สีโอ๊กทูโทน (ไม่เจะลูกบิด),https://www.thaiwatsadu.com/th/sku/60422213,95
INCORRECT,TOA สีรองพื้นปูนสูตรน้ำ 5 แกลลอน รุ่น ไฮโดรควิก,https://www.dohome.co.th/th/toa-cement-floor-primer-5-gal-no-hydroquick-10277577.html,รองพื้นอเนกประสงค์สูตรน้ำ TOA รุ่น HYDRO QUICK ขนาด 15 ลิตร. สีขาว,https://www.thaiwatsadu.com/th/sku/60286564,รองพื้นอเนกประสงค์สูตรน้ำ TOA รุ่น HYDRO QUICK ขนาด 1 แกลลอน สีขาว,https://www.thaiwatsadu.com/th/sku/60286562,95
