status,source_name,source_url,expected_twd_name,expected_twd_url,matched_twd_name,matched_twd_url,confidence
CORRECT,ข้อต่อนั่งร้านเหล็ก 35x225 มม.,https://globalhouse.co.th/product/%E0%B8%82%E0%B9%89%E0%B8%AD%E0%B8%95%E0%B9%88%E0%B8%AD%E0%B8%99%E0%B8%B1%E0%B9%88%E0%B8%87%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B9%80%E0%B8%AB%E0%B8%A5%E0%B9%87%E0%B8%81-35x225-%E0%B8%A1%E0%B8%A1.-i.6082102000001,ข้อต่อนั่งร้าน MAXLIGER รุ่น JP35 อุปกรณ์นั่งร้าน ขนาด 35 x 220 มม. สีเงิน,https://www.thaiwatsadu.com/th/sku/60211921,ข้อต่อนั่งร้าน MAXLIGER รุ่น JP35 อุปกรณ์นั่งร้าน ขนาด 35 x 220 มม. สีเงิน,https://www.thaiwatsadu.com/th/sku/60211921,95
CORRECT,แจ๊ดเบด 40cm(อุปกรณ์นั่งร้าน),https://globalhouse.co.th/product/%E0%B9%81%E0%B8%88%E0%B9%8A%E0%B8%94%E0%B9%80%E0%B8%9A%E0%B8%94-40cm%E0%B8%AD%E0%B8%B8%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%93%E0%B9%8C%E0%B8%99%E0%B8%B1%E0%B9%88%E0%B8%87%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99-i.6082800001006,ฐานปรับระดับ MAXLIGER รุ่น JB40 อุปกรณ์นั่งร้าน ขนาด 40 ซม. สีเงิน,https://www.thaiwatsadu.com/th/sku/60194708,ฐานปรับระดับ MAXLIGER รุ่น JB40 อุปกรณ์นั่งร้าน ขนาด 40 ซม. สีเงิน,https://www.thaiwatsadu.com/th/sku/60194708,100
CORRECT,แจ๊ดเบด 60cm(อุปกรณ์นั่งร้าน),https://globalhouse.co.th/product/%E0%B9%81%E0%B8%88%E0%B9%8A%E0%B8%94%E0%B9%80%E0%B8%9A%E0%B8%94-60cm%E0%B8%AD%E0%B8%B8%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%93%E0%B9%8C%E0%B8%99%E0%B8%B1%E0%B9%88%E0%B8%87%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99-i.6082800001007,ฐานปรับระดับ MAXLIGER รุ่น JB60 อุปกรณ์นั่งร้าน ขนาด 60 ซม. สีเงิน,https://www.thaiwatsadu.com/th/sku/60209001,ฐานปรับระดับ MAXLIGER รุ่น JB60 อุปกรณ์นั่งร้าน ขนาด 60 ซม. สีเงิน,https://www.thaiwatsadu.com/th/sku/60209001,95
CORRECT,นั่งร้านเหล็ก-ครบชุด หนา1.70มม.ขนาด 1700x1219x1829 มม.สีเขียว,https://globalhouse.co.th/product/%E0%B8%99%E0%B8%B1%E0%B9%88%E0%B8%87%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B9%80%E0%B8%AB%E0%B8%A5%E0%B9%87%E0%B8%81%E0%B8%84%E0%B8%A3%E0%B8%9A%E0%B8%8A%E0%B8%B8%E0%B8%94--%E0%B8%AB%E0%B8%99%E0%B8%B21.70%E0%B8%A1%E0%B8%A1.%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-1700x1219x1829-%E0%B8%A1%E0%B8%A1.%E0%B8%AA%E0%B8%B5%E0%B9%80%E0%B8%82%E0%B8%B5%E0%B8%A2%E0%B8%A7-i.6082800001017,นั่งร้านเหล็กหนา 1.5 มม. MAXLIGER รุ่น SF1700G ขนาด 1700 x 1219 x 1829 มม. สีเขียว,https://www.thaiwatsadu.com/th/sku/60185771,นั่งร้านเหล็กหนา 1.5 มม. MAXLIGER รุ่น SF1700G ขนาด 1700 x 1219 x 1829 มม. สีเขียว,https://www.thaiwatsadu.com/th/sku/60185771,100
INCORRECT,บันไดนั่งร้าน 7 ขั้น (สีน้ำเงิน)ขนาด 450 x 2514มม.,https://globalhouse.co.th/product/%E0%B8%9A%E0%B8%B1%E0%B8%99%E0%B9%84%E0%B8%94%E0%B8%99%E0%B8%B1%E0%B9%88%E0%B8%87%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99-7-%E0%B8%82%E0%B8%B1%E0%B9%89%E0%B8%99-%E0%B8%AA%E0%B8%B5%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B9%80%E0%B8%87%E0%B8%B4%E0%B8%99%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-450-x-2514%E0%B8%A1%E0%B8%A1.-i.2410024210018,บันไดนั่งร้าน MAXLIGER รุ่น ST917 ขนาด 1725 x 1829 มม. สีน้ำเงิน,https://www.thaiwatsadu.com/th/sku/60190221,บันไดอะลูมิเนียม (มอก.) 6 ขั้น ทรง A แบบมีถาด SANKI รุ่น LD-SKT06 สีเงิน,https://www.thaiwatsadu.com/th/sku/60340008,70
CORRECT,COLT LITE บานพับปีกผีเสื้อสเตนเลส รุ่น#746 ขนาด4X3X2.5 มม. สีดำ (แพ็ค3ชิ้น),https://globalhouse.co.th/product/COLTLITE%E0%B8%9A%E0%B8%B2%E0%B8%99%E0%B8%9E%E0%B8%B1%E0%B8%9A%E0%B8%9B%E0%B8%B5%E0%B8%81%E0%B8%9C%E0%B8%B5%E0%B9%80%E0%B8%AA%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B8%AA%E0%B9%80%E0%B8%95%E0%B8%99%E0%B9%80%E0%B8%A5%E0%B8%AA%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99746%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%944X3X2.5%E0%B8%A1%E0%B8%A1.%E0%B8%AA%E0%B8%B5%E0%B8%94%E0%B8%B3%E0%B9%81%E0%B8%9E%E0%B9%87%E0%B8%843%E0%B8%8A%E0%B8%B4%E0%B9%89%E0%B8%99-i.8859014954364,บานพับประตูผีเสื้อสเตนเลส 201 COLT รุ่น 746 ขนาด 4 x 3 นิ้ว หนา 2.5 มม. (แพ็ก 3 ชิ้น) สีดำ,https://www.thaiwatsadu.com/sku/60425806,บานพับประตูผีเสื้อสเตนเลส 201 COLT รุ่น 746 ขนาด 4 x 3 นิ้ว หนา 2.5 มม. (แพ็ก 3 ชิ้น) สีดำ,https://www.thaiwatsadu.com/sku/60425806,95
CORRECT,STANLEY ประแจแหวนข้าง ปากตาย 16 มม.รุ่น STMT80226-8,https://globalhouse.co.th/product/STANLEY-%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B9%81%E0%B8%88%E0%B9%81%E0%B8%AB%E0%B8%A7%E0%B8%99%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%87-%E0%B8%9B%E0%B8%B2%E0%B8%81%E0%B8%95%E0%B8%B2%E0%B8%A2-16-%E0%B8%A1%E0%B8%A1.%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99-STMT802268-i.4715898220190,ประแจแหวนข้างปากตาย STANLEY รุ่น STMT80226-8 ขนาด 16 มม.,https://www.thaiwatsadu.com/sku/60289156,ประแจแหวนข้างปากตาย STANLEY รุ่น STMT80226-8 ขนาด 16 มม.,https://www.thaiwatsadu.com/sku/60289156,100
INCORRECT,ฝาครอบนั่งร้าน สีเขียว ขนาด 1829x1050 มม.,https://globalhouse.co.th/product/%E0%B8%9D%E0%B8%B2%E0%B8%84%E0%B8%A3%E0%B8%AD%E0%B8%9A%E0%B8%99%E0%B8%B1%E0%B9%88%E0%B8%87%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99-%E0%B8%AA%E0%B8%B5%E0%B9%80%E0%B8%82%E0%B8%B5%E0%B8%A2%E0%B8%A7--%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-1829x1050-%E0%B8%A1%E0%B8%A1.-i.6082800001003,ฝาครอบนั่งร้าน MAXLIGER รุ่น H1218 ขนาด 1050 x 1829 มม. สีเทา,https://www.thaiwatsadu.com/th/sku/60190222,นั่งร้านเหล็กหนา 1.5 มม. MAXLIGER รุ่น SF1700G ขนาด 1700 x 1219 x 1829 มม. สีเขียว,https://www.thaiwatsadu.com/th/sku/60185771,85
INCORRECT,FIX-XY พุ๊กพลาสติกเกรด A No.7ขนาด 1กก.,https://globalhouse.co.th/product/FIXXY-%E0%B8%9E%E0%B8%B8%E0%B9%8A%E0%B8%81%E0%B8%9E%E0%B8%A5%E0%B8%B2%E0%B8%AA%E0%B8%95%E0%B8%B4%E0%B8%81%E0%B9%80%E0%B8%81%E0%B8%A3%E0%B8%94-A-No.7%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-1%E0%B8%81%E0%B8%81.-i.062210062292,พุ๊กพลาสติก เบอร์ 7 MR METAL รุ่น 7 * 0.25 kgs (แพ็ค 0.25 กก.) สีขาว,https://www.thaiwatsadu.com/th/sku/60244772,พุ๊กพลาสติก เบอร์ 7 MR METAL รุ่น 7 * 1 KG (แพ็ค 1 กก.) สีขาว,https://www.thaiwatsadu.com/th/sku/60244771,95
CORRECT,YALE มือจับก้านโยกห้องทั่วไป ฝาครอบแบบกลม รุ่น KL5327ETUS15 สีนิกเกิลด้าน,https://globalhouse.co.th/product/YALE-%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%88%E0%B8%B1%E0%B8%9A%E0%B8%81%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B9%82%E0%B8%A2%E0%B8%81%E0%B9%80%E0%B8%82%E0%B8%B2%E0%B8%84%E0%B8%A7%E0%B8%B2%E0%B8%A2%E0%B8%AB%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B8%97%E0%B8%B1%E0%B9%88%E0%B8%A7%E0%B9%84%E0%B8%9B-%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99-KL5327ETUS15-%E0%B8%AA%E0%B8%B5%E0%B8%99%E0%B8%B4%E0%B9%80%E0%B8%81%E0%B8%B4%E0%B8%A5%E0%B8%94%E0%B9%89%E0%B8%B2%E0%B8%99-i.4893862062394,มือจับก้านโยกห้องทั่วไปซิงค์ YALE รุ่น VL5327US15 นิกเกิลด้าน,https://www.thaiwatsadu.com/th/sku/60245892,มือจับก้านโยกห้องทั่วไปซิงค์ YALE รุ่น VL5327US15 นิกเกิลด้าน,https://www.thaiwatsadu.com/th/sku/60245892,95
CORRECT,ยูโบลท์ 4x3/8,https://globalhouse.co.th/product/%E0%B8%A2%E0%B8%B9%E0%B9%82%E0%B8%9A%E0%B8%A5%E0%B8%97%E0%B9%8C-4x38-i.8859177003923,ยูโบลท์เหล็ก U HENG ขนาด 4 x 3/8 นิ้ว สีซิงค์ขาว,https://www.thaiwatsadu.com/th/sku/60249174,ยูโบลท์เหล็ก U HENG ขนาด 4 x 3/8 นิ้ว สีซิงค์ขาว,https://www.thaiwatsadu.com/th/sku/60249174,100
INCORRECT,MARTON รถเข็นปูนโครงเชื่อมล้อเดี่ยว ล้อPUจัมโบ้ 15 นิ้ว ขนาดบรรจุ 65 ลิตร สีเขียว,https://globalhouse.co.th/product/MARTON-%E0%B8%A3%E0%B8%96%E0%B9%80%E0%B8%82%E0%B9%87%E0%B8%99%E0%B8%9B%E0%B8%B9%E0%B8%99%E0%B9%82%E0%B8%84%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%8A%E0%B8%B7%E0%B9%88%E0%B8%AD%E0%B8%A1%E0%B8%A5%E0%B9%89%E0%B8%AD%E0%B9%80%E0%B8%94%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7-%E0%B8%A5%E0%B9%89%E0%B8%ADPU%E0%B8%88%E0%B8%B1%E0%B8%A1%E0%B9%82%E0%B8%9A%E0%B9%89-15-%E0%B8%99%E0%B8%B4%E0%B9%89%E0%B8%A7-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94%E0%B8%9A%E0%B8%A3%E0%B8%A3%E0%B8%88%E0%B8%B8-65-%E0%B8%A5%E0%B8%B4%E0%B8%95%E0%B8%A3-%E0%B8%AA%E0%B8%B5%E0%B9%80%E0%B8%82%E0%B8%B5%E0%B8%A2%E0%B8%A7-i.8859229140521,รถเข็นปูนจัมโบ้ล้อเดี่ยวพียู 15 นิ้ว MARTON ขนาด 100 ลิตร (170 กก.) สีแดง,https://www.thaiwatsadu.com/th/sku/60316322,รถเข็นปูนโครงเชื่อมล้อแม๊กซ์เดี่ยว 12 นิ้ว MARTON 65 ลิตร (180 กก.) สีเขียว,https://www.thaiwatsadu.com/th/sku/60271905,95
INCORRECT,MARTON รถเข็นปูนโครงเชื่อมล้อคู่ (ดั๊มได้) ล้อตัน 13 นิ้ว ขนาดบรรจุ 65 ลิตร (รับน้ำหนักได้ 250kg.) สีเขียว,https://globalhouse.co.th/product/MARTON-%E0%B8%A3%E0%B8%96%E0%B9%80%E0%B8%82%E0%B9%87%E0%B8%99%E0%B8%9B%E0%B8%B9%E0%B8%99%E0%B9%82%E0%B8%84%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%8A%E0%B8%B7%E0%B9%88%E0%B8%AD%E0%B8%A1%E0%B8%A5%E0%B9%89%E0%B8%AD%E0%B8%84%E0%B8%B9%E0%B9%88-%E0%B8%94%E0%B8%B1%E0%B9%8A%E0%B8%A1%E0%B9%84%E0%B8%94%E0%B9%89-%E0%B8%A5%E0%B9%89%E0%B8%AD%E0%B8%95%E0%B8%B1%E0%B8%99-13-%E0%B8%99%E0%B8%B4%E0%B9%89%E0%B8%A7-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94%E0%B8%9A%E0%B8%A3%E0%B8%A3%E0%B8%88%E0%B8%B8-65-%E0%B8%A5%E0%B8%B4%E0%B8%95%E0%B8%A3-%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%AB%E0%B8%99%E0%B8%B1%E0%B8%81%E0%B9%84%E0%B8%94%E0%B9%89-250kg.-%E0%B8%AA%E0%B8%B5%E0%B9%80%E0%B8%82%E0%B8%B5%E0%B8%A2%E0%B8%A7-i.8859229140569,รถเข็นปูนล้อคู่แม็กซ์ 12 นิ้ว MARTON ขนาด 55 ลิตร (180 กก.) สีน้ำเงิน,https://www.thaiwatsadu.com/th/sku/60151613,รถเข็นปูนโครงเชื่อมล้อแม๊กซ์เดี่ยว 12 นิ้ว MARTON 65 ลิตร (180 กก.) สีเขียว,https://www.thaiwatsadu.com/th/sku/60271905,90
CORRECT,MARTON รถเข็นปูนโครงปั๊มล้อเดี่ยว ล้อแม็กซ์ 12 นิ้ว ขนาดบรรจุ 55 ลิตร สีแดง,https://globalhouse.co.th/product/MARTON-%E0%B8%A3%E0%B8%96%E0%B9%80%E0%B8%82%E0%B9%87%E0%B8%99%E0%B8%9B%E0%B8%B9%E0%B8%99%E0%B9%82%E0%B8%84%E0%B8%A3%E0%B8%87%E0%B8%9B%E0%B8%B1%E0%B9%8A%E0%B8%A1%E0%B8%A5%E0%B9%89%E0%B8%AD%E0%B9%80%E0%B8%94%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7-%E0%B8%A5%E0%B9%89%E0%B8%AD%E0%B9%81%E0%B8%A1%E0%B9%87%E0%B8%81%E0%B8%8B%E0%B9%8C-12-%E0%B8%99%E0%B8%B4%E0%B9%89%E0%B8%A7-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94%E0%B8%9A%E0%B8%A3%E0%B8%A3%E0%B8%88%E0%B8%B8-55-%E0%B8%A5%E0%B8%B4%E0%B8%95%E0%B8%A3-%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%AB%E0%B8%99%E0%B8%B1%E0%B8%81%E0%B9%84%E0%B8%94%E0%B9%89-80kg.-%E0%B8%AA%E0%B8%B5%E0%B9%81%E0%B8%94%E0%B8%87-i.8859229140017,รถเข็นปูนล้อเดี่ยวแม็กซ์ 12 นิ้ว MARTON ขนาด 55 ลิตร (90 กก.) สีแดง,https://www.thaiwatsadu.com/th/sku/60151612,รถเข็นปูนล้อเดี่ยวแม็กซ์ 12 นิ้ว MARTON ขนาด 55 ลิตร (90 กก.) สีแดง,https://www.thaiwatsadu.com/th/sku/60151612,95
CORRECT,สกรูตัวหนอนชุบขาว 5/8x100cm.,https://globalhouse.co.th/product/%E0%B8%AA%E0%B8%81%E0%B8%A3%E0%B8%B9%E0%B8%95%E0%B8%B1%E0%B8%A7%E0%B8%AB%E0%B8%99%E0%B8%AD%E0%B8%99%E0%B8%8A%E0%B8%B8%E0%B8%9A%E0%B8%82%E0%B8%B2%E0%B8%A7%C2%A058x100cm.-i.11445010,สตัดเหล็กเกลียวหุน 5/8 นิ้ว ยาว 1 เมตร U HENG สีซิงค์ขาว,https://www.thaiwatsadu.com/th/sku/60246232,สตัดเหล็กเกลียวหุน 5/8 นิ้ว ยาว 1 เมตร U HENG สีซิงค์ขาว,https://www.thaiwatsadu.com/th/sku/60246232,95
CORRECT,PUMPKIN สว่านกระแทกไร้สาย 12V (แบตแนวตั้ง) รุ่น J-Series J-12ID1502,https://globalhouse.co.th/product/PUMPKIN-%E0%B8%AA%E0%B8%A7%E0%B9%88%E0%B8%B2%E0%B8%99%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B9%81%E0%B8%97%E0%B8%81%E0%B9%84%E0%B8%A3%E0%B9%89%E0%B8%AA%E0%B8%B2%E0%B8%A2-12V-%E0%B9%81%E0%B8%9A%E0%B8%95%E0%B9%81%E0%B8%99%E0%B8%A7%E0%B8%95%E0%B8%B1%E0%B9%89%E0%B8%87-%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99-JSeries-J12ID1502-i.8859539502811,สว่านกระแทกไร้สาย 12V J-Series PUMPKIN รุ่น J-12ID1502 (50208) (รวมแบต),https://www.thaiwatsadu.com/th/sku/60423050,สว่านกระแทกไร้สาย 12V J-Series PUMPKIN รุ่น J-12ID1502 (50208) (รวมแบต),https://www.thaiwatsadu.com/th/sku/60423050,100
CORRECT,PUMPKIN สว่านกระแทกไร้สาย ไร้แปรงถ่าน 13 มม. 20V Li-ion รุ่น INFINITY POWER INF-13IDBL,https://globalhouse.co.th/product/PUMPKIN-%E0%B8%AA%E0%B8%A7%E0%B9%88%E0%B8%B2%E0%B8%99%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B9%81%E0%B8%97%E0%B8%81%E0%B9%84%E0%B8%A3%E0%B9%89%E0%B8%AA%E0%B8%B2%E0%B8%A2-%E0%B9%84%E0%B8%A3%E0%B9%89%E0%B9%81%E0%B8%9B%E0%B8%A3%E0%B8%87%E0%B8%96%E0%B9%88%E0%B8%B2%E0%B8%99-13-%E0%B8%A1%E0%B8%A1.-20V-Liion-%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99-INFINITY-POWER-INF13IDBL-i.8859539591877,สว่านกระแทกไร้สาย 20 โวลต์ Brushless PUMPKIN รุ่น INF-13IMDB-202K (50260) (รวมแบต 2 Ah x 2),https://www.thaiwatsadu.com/th/sku/60353278,สว่านกระแทกไร้สาย 20 โวลต์ Brushless PUMPKIN รุ่น INF-13IMDB-202K (50260) (รวมแบต 2 Ah x 2),https://www.thaiwatsadu.com/th/sku/60353278,95
CORRECT,หมวกนิรภัย รุ่น B003 สีส้ม,https://globalhouse.co.th/product/%E0%B8%AB%E0%B8%A1%E0%B8%A7%E0%B8%81%E0%B8%99%E0%B8%B4%E0%B8%A3%E0%B8%A0%E0%B8%B1%E0%B8%A2-%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99-B003-%E0%B8%AA%E0%B8%B5%E0%B8%AA%E0%B9%89%E0%B8%A1-i.6022000410201,หมวกนิรภัย REDHAND รุ่น SC-03RHDPE-OL ขนาด 16 x 21 x 21 ซม. สีส้ม,https://www.thaiwatsadu.com/th/sku/60209328,หมวกนิรภัย REDHAND รุ่น SC-03RHDPE-OL ขนาด 16 x 21 x 21 ซม. สีส้ม,https://www.thaiwatsadu.com/th/sku/60209328,95
CORRECT,SISTA อัลตร้าเคลียร์ ผลิตภัณฑ์กันน้ำรั่วซึม 1 กก. สีใส,https://globalhouse.co.th/product/SISTA-%E0%B8%AD%E0%B8%B1%E0%B8%A5%E0%B8%95%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B9%80%E0%B8%84%E0%B8%A5%E0%B8%B5%E0%B8%A2%E0%B8%A3%E0%B9%8C-%E0%B8%9C%E0%B8%A5%E0%B8%B4%E0%B8%95%E0%B8%A0%E0%B8%B1%E0%B8%93%E0%B8%91%E0%B9%8C%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%A3%E0%B8%B1%E0%B9%88%E0%B8%A7%E0%B8%8B%E0%B8%B6%E0%B8%A1-1-%E0%B8%81%E0%B8%81.-%E0%B8%AA%E0%B8%B5%E0%B9%83%E0%B8%AA-i.8851332004769,อะคริลิกกันรั่วซึม อัลตร้าเคลียร์ SISTA รุ่น 2301121 ขนาด 1 กก. สีใส,https://www.thaiwatsadu.com/th/sku/60392559,อะคริลิกกันรั่วซึม อัลตร้าเคลียร์ SISTA รุ่น 2301121 ขนาด 1 กก. สีใส,https://www.thaiwatsadu.com/th/sku/60392559,100
CORRECT,SISTA อะคริลิคกันน้ำรั่วซึม D100 พลัส 4 กก. สีเทา,https://globalhouse.co.th/product/SISTA-%E0%B8%AD%E0%B8%B0%E0%B8%84%E0%B8%A3%E0%B8%B4%E0%B8%A5%E0%B8%B4%E0%B8%84%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%A3%E0%B8%B1%E0%B9%88%E0%B8%A7%E0%B8%8B%E0%B8%B6%E0%B8%A1-D100-%E0%B8%9E%E0%B8%A5%E0%B8%B1%E0%B8%AA-4-%E0%B8%81%E0%B8%81.-%E0%B8%AA%E0%B8%B5%E0%B9%80%E0%B8%97%E0%B8%B2-i.8851332003472,อะคริลิกกันรั่วซึมสะท้อนความร้อน SISTA D100 PLUS รุ่น 920928 ขนาด 4 กก. สีเทา,https://www.thaiwatsadu.com/th/sku/60326108,อะคริลิกกันรั่วซึมสะท้อนความร้อน SISTA D100 PLUS รุ่น 920928 ขนาด 4 กก. สีเทา,https://www.thaiwatsadu.com/th/sku/60326108,95
CORRECT,BESBOND นินจาแด๊ป อะคริลิค ซีลแลนท์ 450 กรัม สีขาว,https://globalhouse.co.th/product/BESBOND-%E0%B8%99%E0%B8%B4%E0%B8%99%E0%B8%88%E0%B8%B2%E0%B9%81%E0%B8%94%E0%B9%8A%E0%B8%9B-%E0%B8%AD%E0%B8%B0%E0%B8%84%E0%B8%A3%E0%B8%B4%E0%B8%A5%E0%B8%B4%E0%B8%84-%E0%B8%8B%E0%B8%B5%E0%B8%A5%E0%B9%81%E0%B8%A5%E0%B8%99%E0%B8%97%E0%B9%8C-450-%E0%B8%81%E0%B8%A3%E0%B8%B1%E0%B8%A1-%E0%B8%AA%E0%B8%B5%E0%B8%82%E0%B8%B2%E0%B8%A7-i.8852863001814,อะคริลิกยาแนว 450 กรัม BESBOND รุ่น NINJA สีขาว,https://www.thaiwatsadu.com/th/sku/60419916,อะคริลิกยาแนว 450 กรัม BESBOND รุ่น NINJA สีขาว,https://www.thaiwatsadu.com/th/sku/60419916,100
