status,source_name,source_url,expected_twd_name,expected_twd_url,matched_twd_name,matched_twd_url,confidence
INCORRECT,บันไดนั่งร้าน 7 ขั้น (สีน้ำเงิน)ขนาด 450 x 2514มม.,https://globalhouse.co.th/product/%E0%B8%9A%E0%B8%B1%E0%B8%99%E0%B9%84%E0%B8%94%E0%B8%99%E0%B8%B1%E0%B9%88%E0%B8%87%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99-7-%E0%B8%82%E0%B8%B1%E0%B9%89%E0%B8%99-%E0%B8%AA%E0%B8%B5%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B9%80%E0%B8%87%E0%B8%B4%E0%B8%99%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-450-x-2514%E0%B8%A1%E0%B8%A1.-i.2410024210018,บันไดนั่งร้าน MAXLIGER รุ่น ST917 ขนาด 1725 x 1829 มม. สีน้ำเงิน,https://www.thaiwatsadu.com/th/sku/60190221,บันไดอะลูมิเนียม (มอก.) 6 ขั้น ทรง A แบบมีถาด SANKI รุ่น LD-SKT06 สีเงิน,https://www.thaiwatsadu.com/th/sku/60340008,70
INCORRECT,ฝาครอบนั่งร้าน สีเขียว ขนาด 1829x1050 มม.,https://globalhouse.co.th/product/%E0%B8%9D%E0%B8%B2%E0%B8%84%E0%B8%A3%E0%B8%AD%E0%B8%9A%E0%B8%99%E0%B8%B1%E0%B9%88%E0%B8%87%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99-%E0%B8%AA%E0%B8%B5%E0%B9%80%E0%B8%82%E0%B8%B5%E0%B8%A2%E0%B8%A7--%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-1829x1050-%E0%B8%A1%E0%B8%A1.-i.6082800001003,ฝาครอบนั่งร้าน MAXLIGER รุ่น H1218 ขนาด 1050 x 1829 มม. สีเทา,https://www.thaiwatsadu.com/th/sku/60190222,นั่งร้านเหล็กหนา 1.5 มม. MAXLIGER รุ่น SF1700G ขนาด 1700 x 1219 x 1829 มม. สีเขียว,https://www.thaiwatsadu.com/th/sku/60185771,85
INCORRECT,FIX-XY พุ๊กพลาสติกเกรด A No.7ขนาด 1กก.,https://globalhouse.co.th/product/FIXXY-%E0%B8%9E%E0%B8%B8%E0%B9%8A%E0%B8%81%E0%B8%9E%E0%B8%A5%E0%B8%B2%E0%B8%AA%E0%B8%95%E0%B8%B4%E0%B8%81%E0%B9%80%E0%B8%81%E0%B8%A3%E0%B8%94-A-No.7%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-1%E0%B8%81%E0%B8%81.-i.062210062292,พุ๊กพลาสติก เบอร์ 7 MR METAL รุ่น 7 * 0.25 kgs (แพ็ค 0.25 กก.) สีขาว,https://www.thaiwatsadu.com/th/sku/60244772,พุ๊กพลาสติก เบอร์ 7 MR METAL รุ่น 7 * 1 KG (แพ็ค 1 กก.) สีขาว,https://www.thaiwatsadu.com/th/sku/60244771,95
INCORRECT,MARTON รถเข็นปูนโครงเชื่อมล้อเดี่ยว ล้อPUจัมโบ้ 15 นิ้ว ขนาดบรรจุ 65 ลิตร สีเขียว,https://globalhouse.co.th/product/MARTON-%E0%B8%A3%E0%B8%96%E0%B9%80%E0%B8%82%E0%B9%87%E0%B8%99%E0%B8%9B%E0%B8%B9%E0%B8%99%E0%B9%82%E0%B8%84%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%8A%E0%B8%B7%E0%B9%88%E0%B8%AD%E0%B8%A1%E0%B8%A5%E0%B9%89%E0%B8%AD%E0%B9%80%E0%B8%94%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7-%E0%B8%A5%E0%B9%89%E0%B8%ADPU%E0%B8%88%E0%B8%B1%E0%B8%A1%E0%B9%82%E0%B8%9A%E0%B9%89-15-%E0%B8%99%E0%B8%B4%E0%B9%89%E0%B8%A7-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94%E0%B8%9A%E0%B8%A3%E0%B8%A3%E0%B8%88%E0%B8%B8-65-%E0%B8%A5%E0%B8%B4%E0%B8%95%E0%B8%A3-%E0%B8%AA%E0%B8%B5%E0%B9%80%E0%B8%82%E0%B8%B5%E0%B8%A2%E0%B8%A7-i.8859229140521,รถเข็นปูนจัมโบ้ล้อเดี่ยวพียู 15 นิ้ว MARTON ขนาด 100 ลิตร (170 กก.) สีแดง,https://www.thaiwatsadu.com/th/sku/60316322,รถเข็นปูนโครงเชื่อมล้อแม๊กซ์เดี่ยว 12 นิ้ว MARTON 65 ลิตร (180 กก.) สีเขียว,https://www.thaiwatsadu.com/th/sku/60271905,95
INCORRECT,MARTON รถเข็นปูนโครงเชื่อมล้อคู่ (ดั๊มได้) ล้อตัน 13 นิ้ว ขนาดบรรจุ 65 ลิตร (รับน้ำหนักได้ 250kg.) สีเขียว,https://globalhouse.co.th/product/MARTON-%E0%B8%A3%E0%B8%96%E0%B9%80%E0%B8%82%E0%B9%87%E0%B8%99%E0%B8%9B%E0%B8%B9%E0%B8%99%E0%B9%82%E0%B8%84%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%8A%E0%B8%B7%E0%B9%88%E0%B8%AD%E0%B8%A1%E0%B8%A5%E0%B9%89%E0%B8%AD%E0%B8%84%E0%B8%B9%E0%B9%88-%E0%B8%94%E0%B8%B1%E0%B9%8A%E0%B8%A1%E0%B9%84%E0%B8%94%E0%B9%89-%E0%B8%A5%E0%B9%89%E0%B8%AD%E0%B8%95%E0%B8%B1%E0%B8%99-13-%E0%B8%99%E0%B8%B4%E0%B9%89%E0%B8%A7-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94%E0%B8%9A%E0%B8%A3%E0%B8%A3%E0%B8%88%E0%B8%B8-65-%E0%B8%A5%E0%B8%B4%E0%B8%95%E0%B8%A3-%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%AB%E0%B8%99%E0%B8%B1%E0%B8%81%E0%B9%84%E0%B8%94%E0%B9%89-250kg.-%E0%B8%AA%E0%B8%B5%E0%B9%80%E0%B8%82%E0%B8%B5%E0%B8%A2%E0%B8%A7-i.8859229140569,รถเข็นปูนล้อคู่แม็กซ์ 12 นิ้ว MARTON ขนาด 55 ลิตร (180 กก.) สีน้ำเงิน,https://www.thaiwatsadu.com/th/sku/60151613,รถเข็นปูนโครงเชื่อมล้อแม๊กซ์เดี่ยว 12 นิ้ว MARTON 65 ลิตร (180 กก.) สีเขียว,https://www.thaiwatsadu.com/th/sku/60271905,90
INCORRECT,NNN ไม้กวาดดอกหญ้า 4เสา ด้ามไม้ย้อมสี,https://globalhouse.co.th/product/NNN-%E0%B9%84%E0%B8%A1%E0%B9%89%E0%B8%81%E0%B8%A7%E0%B8%B2%E0%B8%94%E0%B8%94%E0%B8%AD%E0%B8%81%E0%B8%AB%E0%B8%8D%E0%B9%89%E0%B8%B2-4%E0%B9%80%E0%B8%AA%E0%B8%B2-%E0%B8%94%E0%B9%89%E0%B8%B2%E0%B8%A1%E0%B9%84%E0%B8%A1%E0%B9%89%E0%B8%A2%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%AA%E0%B8%B5-i.1261195712591,OTOP ไม้กวาด 4 เสาทาเรนโค้ดด้ามไม้ สินค้าชุมชนของเรา รุ่น ตำบลโพธิ์งาม,https://www.thaiwatsadu.com/th/sku/60222145,ไม้กวาดดอกหญ้า (ด้ามตอก) FLOOR MATE สีธรรมชาติ,https://www.thaiwatsadu.com/th/sku/60149486,95
INCORRECT,SEAGULL ตะหลิวเล็ก-ด้ามดำ 100304009 สีดำ,https://globalhouse.co.th/product/SEAGULL-%E0%B8%95%E0%B8%B0%E0%B8%AB%E0%B8%A5%E0%B8%B4%E0%B8%A7%E0%B9%80%E0%B8%A5%E0%B9%87%E0%B8%81%E0%B8%94%E0%B9%89%E0%B8%B2%E0%B8%A1%E0%B8%94%E0%B8%B3-100304009-%E0%B8%AA%E0%B8%B5%E0%B8%94%E0%B8%B3-i.8850633040094,ตะหลิว - เล็ก (ด้ามดำ) SEAGULL รุ่น ENJOY สีสเตนเลส,https://www.thaiwatsadu.com/th/sku/60141182,ตะหลิว - เล็ก (ด้ามยาว) SEAGULL รุ่น SP 932 สีสเตนเลส,https://www.thaiwatsadu.com/th/sku/60141173,95
INCORRECT,ANCHOR แปรงขัดพื้นหัวพลาสติกด้ามเหล็กใหญ่ ขนาด 8x120x8ซม. รุ่น 101101,https://globalhouse.co.th/product/ANCHOR-%E0%B9%81%E0%B8%9B%E0%B8%A3%E0%B8%87%E0%B8%82%E0%B8%B1%E0%B8%94%E0%B8%9E%E0%B8%B7%E0%B9%89%E0%B8%99%E0%B8%AB%E0%B8%B1%E0%B8%A7%E0%B8%9E%E0%B8%A5%E0%B8%B2%E0%B8%AA%E0%B8%95%E0%B8%B4%E0%B8%81%E0%B8%94%E0%B9%89%E0%B8%B2%E0%B8%A1%E0%B9%80%E0%B8%AB%E0%B8%A5%E0%B9%87%E0%B8%81%E0%B9%83%E0%B8%AB%E0%B8%8D%E0%B9%88-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%94-8x120x8%E0%B8%8B%E0%B8%A1.-%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99-101101-i.8851938900625,แปรงบรูมใหญ่หัวพลาสติก ตราสมอรุ่น 101101 (แพ็ค 2 ชิ้น) สีฟ้า,https://www.thaiwatsadu.com/th/sku/60206056,แปรงบรูมใหญ่หัวพลาสติก ตราสมอ รุ่น 101101 สีฟ้า,https://www.thaiwatsadu.com/th/sku/60206043,100
INCORRECT,มูลี่ประตู รุ่นTK-36 80x200ซม.,https://globalhouse.co.th/product/detail/8851128122929,มู่ลี่ไวนิล สกรีนเต็มผืน WSP รุ่น TK-36/B-19 ขนาด 80 x 200 ซม. หลากสี,https://www.thaiwatsadu.com/th/sku/60292315,ประตูภายนอก UPVC ECO DOOR รุ่น W2 ขนาด 70x200 ซม. สีขาว (เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60416405,70
INCORRECT,DELICATO ตู้เสื้อผ้าW-06 2 บาน 120ซม. 2ลิ้นชัก 118x49x185ซม. สีพรีเมียร์โอ๊ค,https://globalhouse.co.th/product/detail/8859439301408,ตู้เสื้อผ้าทึบ 3 ลิ้นชัก ONLY ขนาด 108 ซม. สีสักปาร์เกต์,https://www.thaiwatsadu.com/th/sku/60351456,ตู้เสื้อผ้า 2 บานเปิด 3 ลิ้นชัก ONLY รุ่น 3.5 ฟุต ขนาด 108ซม. สีโซลิดโอ๊ก,https://www.thaiwatsadu.com/th/sku/60273545,90
