status,GT_Fault,source_name,source_url,expected_twd_name,expected_twd_url,matched_twd_name,matched_twd_url,confidence
CORRECT,NO,บัววงกบ WPC ECO-DOOR ขอบเรียบ 6X220X1.5 ซม. สีโอ๊ค,https://www.homepro.co.th/p/1099060,ซับวงกบไม้สังเคราะห์ WPC ECO DOOR รุ่น เรียบ60-AO ขนาด 6 x 220 ซม. สีโอ๊ก,https://www.thaiwatsadu.com/th/sku/60281544,ซับวงกบไม้สังเคราะห์ WPC ECO DOOR รุ่น เรียบ60-AO ขนาด 6 x 220 ซม. สีโอ๊ก,https://www.thaiwatsadu.com/th/sku/60281544,95
CORRECT,NO,ทินเนอร์อเนกประสงค์ D FISH AAA 8 กิโลกรัม,https://www.homepro.co.th/p/1103673,ทินเนอร์ AAA TURBO CLEAN รุ่น TURBO ปิ๊บสูง ขนาด 8 กก. สีใส,https://www.thaiwatsadu.com/th/sku/60301487,ทินเนอร์ AAA TURBO CLEAN รุ่น TURBO ปิ๊บสูง ขนาด 8 กก. สีใส,https://www.thaiwatsadu.com/th/sku/60301487,95
CORRECT,NO,ทินเนอร์ TOA BARCO AAA 2 ลิตร,https://www.homepro.co.th/p/15098,ทินเนอร์ BARCO รุ่น AAA ขนาด 1 แกลอน,https://www.thaiwatsadu.com/th/sku/60001580,ทินเนอร์ BARCO รุ่น AAA ขนาด 1 แกลอน,https://www.thaiwatsadu.com/th/sku/60001580,95
CORRECT,NO,ทินเนอร์ BARGO AAA 11 ลิตร (ปี๊ป),https://www.homepro.co.th/p/15099,ทินเนอร์ BARCO รุ่น AAA ขนาด 11 กก. (ปิ๊บ),https://www.thaiwatsadu.com/th/sku/60001575,ทินเนอร์ BARCO รุ่น AAA ขนาด 11 กก. (ปิ๊บ),https://www.thaiwatsadu.com/th/sku/60001575,95
INCORRECT,YES,ทินเนอร์ TOA BARGO AAA ขวดใหญ่,https://www.homepro.co.th/p/15097,ทินเนอร์ Barco รุ่น AAA ขนาด ขวดใหญ่,https://www.thaiwatsadu.com/th/sku/60001595,ทินเนอร์ BARCO รุ่น AAA ขนาด 1 แกลอน,https://www.thaiwatsadu.com/th/sku/60001580,95
CORRECT,NO,ทินเนอร์ TOA 21 1 แกลลอน,https://www.homepro.co.th/p/73248?srsltid=AfmBOorhMKjxvUSlJVm3XW7kYg3OUzLiVel4Rgc-VS7FO1i60PImR9w6,ทินเนอร์ สีเคลือบ TOA รุ่น 21 ขนาด 1 แกลอน สีใส #0021,https://www.thaiwatsadu.com/th/sku/60001677,ทินเนอร์ สีเคลือบ TOA รุ่น 21 ขนาด 1 แกลอน สีใส #0021,https://www.thaiwatsadu.com/th/sku/60001677,100
CORRECT,NO,ทินเนอร์ TOA เบอร์ 71 1 แกลลอน,https://www.homepro.co.th/p/73250?srsltid=AfmBOorbGmMOdTN22JAuQX7sZkmwkRAyiIRYBbswNEjmMJzGjOWf-Jh_,ทินเนอร์ แลคเกอร์ TOA รุ่น 71 ขนาด 1 แกลอน สีใส #0071,https://www.thaiwatsadu.com/th/sku/60001668,ทินเนอร์ แลคเกอร์ TOA รุ่น 71 ขนาด 1 แกลอน สีใส #0071,https://www.thaiwatsadu.com/th/sku/60001668,100
CORRECT,NO,ทินเนอร์ BEGER B52 M1199 1 แกลลอน,https://www.homepro.co.th/p/69309?srsltid=AfmBOoqaXU6PmXKDxhO715kjGYS6-q_2rD-Ercj2idAh2YV9R5s4irbK,ทินเนอร์สีย้อมไม้ BEGER รุ่น M-1199 ขนาด 1 แกลอน,https://www.thaiwatsadu.com/th/sku/60001610,ทินเนอร์สีย้อมไม้ BEGER รุ่น M-1199 ขนาด 1 แกลอน,https://www.thaiwatsadu.com/th/sku/60001610,100
CORRECT,NO,สีน้ำลอฟท์ภายนอก TOA LOFT2 สีเทากลาง 12 กก.,https://www.homepro.co.th/p/1163441,ทีโอเอลอฟท์ ภายนอก TOA รุ่น EXT LOFT 2 ขนาด 12 กก. สีเทา,https://www.thaiwatsadu.com/th/sku/60321991,ทีโอเอลอฟท์ ภายนอก TOA รุ่น EXT LOFT 2 ขนาด 12 กก. สีเทา,https://www.thaiwatsadu.com/th/sku/60321991,100
NOT_FOUND,NO,น้ำมันสน TOA SHARKS 1 แกลลอน,https://www.homepro.co.th/p/15075,น้ำมันสน SHARK รุ่นกระป๋อง ขนาด 2.3 กก. สีใส (#0TUR),https://www.thaiwatsadu.com/th/sku/60001739,,,0
