status,homepro_name,homepro_brand,homepro_url,expected_twd_name,expected_twd_url,matched_twd_name,matched_twd_url,confidence
NOT_FOUND,ประตูบานสวิงเดี่ยว อะลูมิเนียม WINDOW ASIA 100x205 ซม. สีขาว,WINDOW ASIA,https://www.homepro.co.th/p/272466,ประตูอะลูมิเนียมบานสวิงเดี่ยว NK รุ่น กระจกใสเขียว ขนาด 109 x 204 ซม. สีขาว,https://www.thaiwatsadu.com/th/sku/60195213,,,0
NOT_FOUND,ผ้าเทปยิปซั่ม PYRAMID สีขาว (แพ็ก 3 ชิ้น),PYRAMID,https://www.homepro.co.th/p/1024381,ผ้ายิปซั่ม VR รุ่น VR91573 ขนาด 3 ซม. x 11.88 เมตร สีขาว,https://www.thaiwatsadu.com/th/sku/60078580,,,0
NOT_FOUND,วงกบไม้แดงมาเลย์ N999 70x200 ซม.,N999,https://www.homepro.co.th/p/1142565,วงกบประตูไม้แคมปัส AB KP รุ่น SL0924 ขนาด 70 x 200 ซม. อบพ่นสีแดง,https://www.thaiwatsadu.com/th/sku/60256624,,,0
NOT_FOUND,สีน้ำทาภายนอก ชนิดกึ่งเงา TOA SHIELD EXPERT SUPERIOR PREMIUM 2 IN 1 BASE C สีขาว 9 ลิตร,TOA,https://www.homepro.co.th/p/1267384,สีน้ำภายนอก ชนิดกึ่งเงา TOA รุ่น SHIELD EXPERT ขนาด 9 ลิตร สีเบส C,https://www.thaiwatsadu.com/th/sku/60413999,,,0
NOT_FOUND,สีน้ำมัน TOA GLIPTON 2IN1 GG800 สีดำ เงา 1 แกลลอน,TOA,https://www.homepro.co.th/p/1228157?srsltid=AfmBOoqsSO0xO2YOzdJp9UCIxuKUzafAWEGxHpiKiL3yyYFb0uqzOZtg,สีน้ำมันทับหน้าและรองพื้น ชนิดเงา TOA รุ่น Glipton 2in1 ขนาด 1 แกลลอน สีดำ #GG800,https://www.thaiwatsadu.com/th/sku/60381986,,,0
NOT_FOUND,สีพ่นอุตสาหกรรม TOA INDUSTRIAL LACQUER BASE A สีขาว ด้าน 1 แกลลอน,TOA,https://www.homepro.co.th/p/1230935,สีพ่นอุตสาหกรรม TOA ชนิดด้าน ขนาด 1 แกลลอน สีเบส A,https://www.thaiwatsadu.com/th/sku/60302794,,,0
NOT_FOUND,สีรองพื้นอเนกประสงค์ JBP SUPREME-X PRIMER 3900 5 แกลลอน,JBP,https://www.homepro.co.th/p/1280253?srsltid=AfmBOoopd2xqWp7WnG_hoKAQHoKaHRt-LZwv9bgN-cXo4wmQ58qnFolY,สีรองพื้นปูน ชนิดยืดหยุ่น JBP รุ่น SUPREME-X PRIMER ขนาด 5 แกลลอน สีขาว #3900,https://www.thaiwatsadu.com/th/sku/60423476,,,0
NOT_FOUND,สีรองพื้นอุตสาหกรรม JOTUN PENGUARD HARDENER B สีใส 0.6 ลิตร,JOTUN,https://www.homepro.co.th/p/1177846,สีอุตสาหกรรม JOTUN รุ่น PENGUARD ENAMEL COM B ขนาด 0.6 ลิตร สีใส,https://www.thaiwatsadu.com/th/sku/60330986,,,0
NOT_FOUND,หน้าต่างบานเลื่อน อะลูมิเนียม S-F-S มุ้ง SANKYOALUMI J-TRUST VENTILATION 180x110 ซม. สีขาว,SankyoAlumi,https://www.homepro.co.th/p/1104982,หน้าต่างอะลูมิเนียมบานเลื่อน FRAMEX รุ่น 4 บาน+มุ้ง FSSF ขนาด 180 x 110 ซม. สีขาว,https://www.thaiwatsadu.com/th/sku/60277550,,,0
NOT_FOUND,บานพับ 4X3 นิ้ว X 1.8 มม. SOSO 4318 สีสเตนเลส (แพ็ก 4 ชิ้น),SOSO,https://www.homepro.co.th/p/1072349,บานพับสเตนเลส 4 แหวนลูกปืนหัวตัด SOSO รุ่น 4318/4 SS ขนาด 4x3นิ้วx1.8 มม. (แพ็ก 4 ชิ้น) สีสเตนเลส,https://www.thaiwatsadu.com/th/sku/60287242,,,0
