status,homepro_name,homepro_brand,homepro_url,homepro_price,expected_twd_name,expected_twd_url,expected_twd_price,matched_twd_name,matched_twd_url,confidence
CORRECT,บัววงกบ WPC ECO-DOOR ขอบเรียบ 6X220X1.5 ซม. สีโอ๊ค,ECO-DOOR,https://www.homepro.co.th/p/1099060,180.0,ซับวงกบไม้สังเคราะห์ WPC ECO DOOR รุ่น เรียบ60-AO ขนาด 6 x 220 ซม. สีโอ๊ก,https://www.thaiwatsadu.com/th/sku/60281544,180.0,ซับวงกบไม้สังเคราะห์ WPC ECO DOOR รุ่น เรียบ60-AO ขนาด 6 x 220 ซม. สีโอ๊ก,https://www.thaiwatsadu.com/th/sku/60281544,100
CORRECT,ทินเนอร์อเนกประสงค์ D FISH AAA 8 กิโลกรัม,ดี ฟิช,https://www.homepro.co.th/p/1103673,675.0,ทินเนอร์ AAA TURBO CLEAN รุ่น TURBO ปิ๊บสูง ขนาด 8 กก. สีใส,https://www.thaiwatsadu.com/th/sku/60301487,528.0,ทินเนอร์ AAA TURBO CLEAN รุ่น TURBO ปิ๊บสูง ขนาด 8 กก. สีใส,https://www.thaiwatsadu.com/th/sku/60301487,100
NOT_FOUND,ทินเนอร์ TOA BARCO AAA 2 ลิตร,TOA,https://www.homepro.co.th/p/15098,224.0,ทินเนอร์ BARCO รุ่น AAA ขนาด 1 แกลอน,https://www.thaiwatsadu.com/th/sku/60001580,215.0,,,0
CORRECT,ทินเนอร์ BARGO AAA 11 ลิตร (ปี๊ป),BARGO,https://www.homepro.co.th/p/15099,874.0,ทินเนอร์ BARCO รุ่น AAA ขนาด 11 กก. (ปิ๊บ),https://www.thaiwatsadu.com/th/sku/60001575,848.0,ทินเนอร์ BARCO รุ่น AAA ขนาด 11 กก. (ปิ๊บ),https://www.thaiwatsadu.com/th/sku/60001575,85
NOT_FOUND,ทินเนอร์ TOA BARGO AAA ขวดใหญ่,TOA,https://www.homepro.co.th/p/15097,66.0,ทินเนอร์ Barco รุ่น AAA ขนาด ขวดใหญ่,https://www.thaiwatsadu.com/th/sku/60001595,45.0,,,0
CORRECT,ทินเนอร์ TOA 21 1 แกลลอน,TOA,https://www.homepro.co.th/p/73248?srsltid=AfmBOorhMKjxvUSlJVm3XW7kYg3OUzLiVel4Rgc-VS7FO1i60PImR9w6,395.0,ทินเนอร์ สีเคลือบ TOA รุ่น 21 ขนาด 1 แกลอน สีใส #0021,https://www.thaiwatsadu.com/th/sku/60001677,367.0,ทินเนอร์ สีเคลือบ TOA รุ่น 21 ขนาด 1 แกลอน สีใส #0021,https://www.thaiwatsadu.com/th/sku/60001677,100
CORRECT,ทินเนอร์ TOA เบอร์ 71 1 แกลลอน,TOA,https://www.homepro.co.th/p/73250?srsltid=AfmBOorbGmMOdTN22JAuQX7sZkmwkRAyiIRYBbswNEjmMJzGjOWf-Jh_,589.0,ทินเนอร์ แลคเกอร์ TOA รุ่น 71 ขนาด 1 แกลอน สีใส #0071,https://www.thaiwatsadu.com/th/sku/60001668,530.0,ทินเนอร์ แลคเกอร์ TOA รุ่น 71 ขนาด 1 แกลอน สีใส #0071,https://www.thaiwatsadu.com/th/sku/60001668,100
CORRECT,ทินเนอร์ BEGER B52 M1199 1 แกลลอน,BEGER,https://www.homepro.co.th/p/69309?srsltid=AfmBOoqaXU6PmXKDxhO715kjGYS6-q_2rD-Ercj2idAh2YV9R5s4irbK,509.0,ทินเนอร์สีย้อมไม้ BEGER รุ่น M-1199 ขนาด 1 แกลอน,https://www.thaiwatsadu.com/th/sku/60001610,470.0,ทินเนอร์สีย้อมไม้ BEGER รุ่น M-1199 ขนาด 1 แกลอน,https://www.thaiwatsadu.com/th/sku/60001610,100
CORRECT,สีน้ำลอฟท์ภายนอก TOA LOFT2 สีเทากลาง 12 กก.,TOA,https://www.homepro.co.th/p/1163441,1378.0,ทีโอเอลอฟท์ ภายนอก TOA รุ่น EXT LOFT 2 ขนาด 12 กก. สีเทา,https://www.thaiwatsadu.com/th/sku/60321991,1253.0,ทีโอเอลอฟท์ ภายนอก TOA รุ่น EXT LOFT 2 ขนาด 12 กก. สีเทา,https://www.thaiwatsadu.com/th/sku/60321991,95
NOT_FOUND,น้ำมันสน TOA SHARKS 1 แกลลอน,TOA,https://www.homepro.co.th/p/15075,186.0,น้ำมันสน SHARK รุ่นกระป๋อง ขนาด 2.3 กก. สีใส (#0TUR),https://www.thaiwatsadu.com/th/sku/60001739,183.0,,,0
