status,homepro_name,homepro_brand,homepro_url,expected_twd_name,expected_twd_url,matched_twd_name,matched_twd_url,confidence
INCORRECT,น้ำมันสน TOA SHARKS 1 แกลลอน,TOA,https://www.homepro.co.th/p/15075,น้ำมันสน SHARK รุ่นกระป๋อง ขนาด 2.3 กก. สีใส (#0TUR),https://www.thaiwatsadu.com/th/sku/60001739,TOA สีน้ำมันเคลือบเงา รุ่น GLIPTON ขนาด 1 แกลลอน #G800,https://www.thaiwatsadu.com/th/sku/60270241,90
INCORRECT,ประตูห้องน้ำ UPVC ECO-DOOR PD1 70X200 ซม. สีครีมเทา ทูโทน เจาะลูกบิด,ECO-DOOR,https://www.homepro.co.th/p/1242188?lang=th&gad_source=1&gclid=CjwKCAjwufq2BhAmEiwAnZqw8qiMNsXUEi3t54lgsN0ywRScX_MvmA052OgR1t9f6P7kNuQMy4et5RoCtzAQAvD_BwE,ประตูภายใน UPVC ECO DOOR รุ่น PB1 ขนาด 70 x 200 ซม. สีเทาอ่อนทูโทนเทาเข้ม (เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60412569,ประตูภายใน UPVC ECO DOOR รุ่น PD1 ขนาด 70 x 200 ซม. สีครีมทูโทนเทา (เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60416137,100
INCORRECT,ประตูบานเลื่อน UPVC S-S มุ้ง WINDOW ASIA 200X205 ซม. สีขาว,WINDOW ASIA,https://www.homepro.co.th/p/1165985,ประตูบานเลื่อน 2 บาน UPVC พร้อมมุ้งลวด WINSTAR ขนาด 200 x 205 ซม. สีขาว,https://www.thaiwatsadu.com/th/sku/60334809,ประตูบานเลื่อน UPVC 2 บานพร้อมมุ้ง FRAMEX ขนาด 200 x 205 ซม. สีขาว,https://www.thaiwatsadu.com/th/sku/60365148,95
INCORRECT,ประตูภายนอก UPVC MODERNWOOD REVO MWR002 90X200 ซม. สีขาว เจาะลูกบิด,MODERNWOOD,https://www.homepro.co.th/p/1194270,ประตูภายนอก UPVC MASTERWOOD รุ่น MN002 ขนาด 80 x 200 ซม. สีขาว (เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60084152,ประตูภายนอก UPVC MASTERWOOD รุ่น MN003 ขนาด 90 x 200 ซม. สีขาว (เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60084161,95
INCORRECT,ประตูภายนอก UPVC AZLE MD-5 80X200 ซม. สีขาว เจาะลูกบิด,AZLE,https://www.homepro.co.th/p/1094173,ประตูภายนอก UPVC MASTERWOOD รุ่น MNM01 ขนาด 80 x 200 ซม. สีขาว (เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60311945,ประตูภายนอก UPVC ECO DOOR รุ่น TLW ขนาด 80 x 200 ซม. สีขาว (เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60387911,95
INCORRECT,ประตูภายในเมลามีน AZLE VALENTINO 80X200 ซม. สีน้ำตาล ไม่เจาะลูกบิด,AZLE,https://www.homepro.co.th/p/1229258,ประตูภายใน HDF ปิดผิวเมลามีน เซาะร่องแนวตั้ง 1 เส้น วนชัย ขนาด 80 x 200 ซม. สีเทา (ไม่เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60369729,ประตูภายใน HDF ปิดผิวเมลามีน วนชัย รุ่น MAG1 ขนาด 80 x 200 ซม. สีเทา (ไม่เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60369728,90
INCORRECT,ประตูภายนอก UPVC PARAZZO MN002 80X200 ซม. สีขาว เจาะลูกบิด,PARAZZO,https://www.homepro.co.th/p/217077,ประตูภายใน UPVC Revo 2 ลูกฟัก MASTERWOOD รุ่น MI02 ขนาด 80 x 200 ซม. สีขาว (เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60301473,ประตูภายนอก UPVC MASTERWOOD รุ่น MN002 ขนาด 80 x 200 ซม. สีขาว (เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60084152,95
INCORRECT,ประตูห้องน้ำ UPVC PARAZZO ML003 70X200 ซม. สีขาว เจาะลูกบิด,PARAZZO,https://www.homepro.co.th/p/237127,ประตูภายใน UPVC Revo MASTERWOOD รุ่น MPSW008-I ขนาด 70 x 200 ซม. สีขาว (เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60322004,ประตูภายนอก UPVC ECO DOOR รุ่น W2 ขนาด 70x200 ซม. สีขาว (เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60416405,90
INCORRECT,ประตูห้องน้ำ UPVC AZLE TROPICAL 70X200 ซม. สีขาว พร้อมวงกบ ไม่เจาะลูกบิด,AZLE,https://www.homepro.co.th/p/1247999,ประตูภายใน UPVC กระจกลายดอกไม้ พร้อมวงกบ HI DOOR รุ่น A-023/SU-19 ขนาด 70 x 200 ซม. (ไม่เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60249118,วงกบประตู UPVC MASTERWOOD ขนาด 70 x 200 ซม. สีขาว,https://www.thaiwatsadu.com/th/sku/60084287,95
INCORRECT,ประตู UPVC ASARA G925 ดอกซากุระ 70x200 ซม. สีขาว พร้อมวงกบ ไม่เจาะลูกบิด,ASARA,https://www.homepro.co.th/p/1157824,ประตูภายใน UPVC กระจกลายดอกไม้ พร้อมวงกบ HI DOOR รุ่น A-023/SU-20 ขนาด 70 x 200 ซม. (ไม่เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60249119,ประตูภายนอก UPVC ECO DOOR รุ่น W2 ขนาด 70x200 ซม. สีขาว (เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60416405,85
INCORRECT,ประตูภายใน UPVC PARAZZO PUN06 80X200 ซม. สี TEXES OAK เจาะลูกบิด,PARAZZO,https://www.homepro.co.th/p/1110132,ประตูภายใน UPVC เซาะร่อง CONNEX รุ่น CH11 ขนาด 90 x 200 ซม. สีช็อกโกแลต (เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60308770,ประตูภายใน UPVC เซาะร่อง CONNEX รุ่น LT13 ขนาด 80 x 200 ซม. สีลัตเต (เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60308766,85
INCORRECT,สีรองพื้นปูนใหม่ CAPTAIN WELLTECHPLUS ด้าน 5 แกลลอน,CAPTAIN,https://www.homepro.co.th/p/82603,รองพื้นปูนใหม่ WELLTECH รุ่น 1000 BW1601 ขนาด 5 แกลอน สีขาว,https://www.thaiwatsadu.com/th/sku/60109195,รองพื้นปูนใหม่ Parashield Coolmax CAPTAIN รุ่น C9900 ขนาด 5 แกลอน สีขาว,https://www.thaiwatsadu.com/th/sku/60239880,95
INCORRECT,วงกบประตู PVC AZLE 80X200 ซม. สีครีม,AZLE,https://www.homepro.co.th/p/196193,วงกบประตู PVC POLYWOOD ขนาด 70 x 200 ซม. สีขาว,https://www.thaiwatsadu.com/th/sku/60255379,วงกบประตู UPVC มีบัวในตัว CONNEX ขนาด 80 x 200 ซม. สีขาว,https://www.thaiwatsadu.com/th/sku/60318711,85
INCORRECT,วงกบประตูสังเคราะห์ พร้อมซับ XL KING 70X200 ซม. สีขาว,XL KING,https://www.homepro.co.th/p/1189425,วงกบประตู UPVC MASTERWOOD ขนาด 70 x 200 ซม. สีขาว,https://www.thaiwatsadu.com/th/sku/60084287,วงกบประตู PVC POLYWOOD ขนาด 70 x 200 ซม. สีขาว,https://www.thaiwatsadu.com/th/sku/60255379,95
INCORRECT,วงกบประตูไม้สังเคราะห์ WPC ECO-DOOR 80x200 ซม. สีขาว,ECO-DOOR,https://www.homepro.co.th/p/1110609,วงกบประตู WPC ECO DOOR รุ่น WVSM-100 ขนาด 80 x 200 ซม. สีขาว,https://www.thaiwatsadu.com/th/sku/60262061,วงกบประตู WPC ECO DOOR รุ่น WR-100 ขนาด 80 x 200 ซม. สีขาว,https://www.thaiwatsadu.com/th/sku/60345723,100
INCORRECT,วงกบประตูไม้แคมปัส AZLE 80X200 ซม. สีธรรมชาติ,AZLE,https://www.homepro.co.th/p/1159356,วงกบประตูไม้แคมปัส AB KP รุ่น SL0924 ขนาด 80 x 200 ซม. อบพ่นสีแดง,https://www.thaiwatsadu.com/th/sku/60208465,วงกบประตูไม้แคมปัส AA KP รุ่น SL1024 ขนาด 80 x 200 ซม. สีธรรมชาติ,https://www.thaiwatsadu.com/th/sku/60208466,95
INCORRECT,วงกบประตูไม้เต็งแดง MODERN DOORS COM1 80X200 ซม. สีธรรมชาติ,MODERN DOORS,https://www.homepro.co.th/p/238882,วงกบประตูไม้เต็งแดงจ๊อยท์ WINDOORS รุ่น Com1 ขนาด 80 x 200 ซม. สีธรรมชาติ,https://www.thaiwatsadu.com/th/sku/60345579,วงกบประตูไม้เต็งแดงจ๊อยท์ WINDOORS รุ่น Com1 ขนาด 80 x 200 ซม. สีธรรมชาติ,https://www.thaiwatsadu.com/th/sku/60388501,100
INCORRECT,สีน้ำทาภายนอก NIPPON PAINT SUPER SERVE BASE A กึ่งเงา 2.5 แกลลอน,NIPPON PAINT,https://www.homepro.co.th/p/1236126,สีน้ำกึ่งเงา ภายนอก NIPPON รุ่น ซุปเปอร์เซิฟ ขนาด 2.5 แกลลอน สีเบส A,https://www.thaiwatsadu.com/th/sku/60381992,สีน้ำด้าน ภายนอก NIPPON รุ่น ซุปเปอร์เซิฟ ขนาด 2.5 แกลลอน สีเบส A,https://www.thaiwatsadu.com/sku/60382000,90
INCORRECT,สีน้ำทาภายนอก TOA SUPERSHIELD ADVANCE BASE A เนียน 1 แกลลอน,TOA,https://www.homepro.co.th/p/149818?srsltid=AfmBOoqOYBSGiu5ykF-cYxLkZA36oA38KaZiltYGo_82b6Rth8G6zpCM,สีน้ำกึ่งเงา ภายนอก TOA รุ่น Supershield Advance ขนาด 1 แกลลอน สีเบส A,https://www.thaiwatsadu.com/th/sku/60000803,สีน้ำเนียน ภายนอก TOA รุ่น Supershield Advance ขนาด 1 แกลลอน สีเบส A,https://www.thaiwatsadu.com/th/sku/60004713,100
INCORRECT,สีน้ำทาภายนอก ชนิดกึ่งเงา TOA SUPERMATEX BASE A 9 ลิตร,TOA,https://www.homepro.co.th/p/1112136,สีน้ำกึ่งเงาภายนอก ซุปเปอร์เมเทค รุ่น แอดวานซ์ ขนาด 9 ลิตร สีเบส A,https://www.thaiwatsadu.com/th/sku/60315086,TOA สีน้ำกึ่งเงา ภายนอก รุ่น Supershield Advance ขนาด 9 ลิตร สีเบส A,https://www.thaiwatsadu.com/th/sku/60000860,90
INCORRECT,สีน้ำทาภายนอก NIPPON PAINT WEATHERBONDSHEEN BASE A 9L,NIPPON PAINT,https://www.homepro.co.th/p/1170148,สีน้ำภายนอก NIPPON รุ่น เวเธอร์บอนด์ เนียน ขนาด 9 ลิตร เบส A,https://www.thaiwatsadu.com/th/sku/60336105,สีน้ำภายนอก NIPPON รุ่น เวเธอร์บอนด์ กึ่งเงา ขนาด 9 ลิตร เบส A,https://www.thaiwatsadu.com/th/sku/60336113,95
INCORRECT,สีน้ำทาภายนอก ชนิดกึ่งเงา NIPPON PAINT HYBRIDSHIELD BASE A สีขาว 2.5 แกลลอน,NIPPON PAINT,https://www.homepro.co.th/p/1142432?lang=th&gad_source=1&gclid=CjwKCAjwufq2BhAmEiwAnZqw8j8y2_cfaqArMvd-tWqZlhyrogbiYQtJ-Rw3ZCjwPQhMtD1fIyGDtRoCugYQAvD_BwE,สีน้ำภายนอก ชนิดด้าน NIPPON PAINT รุ่น HYBRIDSHIELD ขนาด 2.5 แกลลอน สีเบส A,https://www.thaiwatsadu.com/th/sku/60403810,สีภายนอกไฮบริดชิลด์กึ่งเงา NIPPON รุ่น HYBRIDSHIELD SG ขนาด 2.5 แกลลอน สีเบส A,https://www.thaiwatsadu.com/th/sku/60316887,95
