status,source_name,source_url,expected_twd_name,expected_twd_url,matched_twd_name,matched_twd_url,confidence
CORRECT,กระดาษทรายขัดแห้ง TOA DSCS MS #120,https://www.boonthavorn.com/toa-111199,กระดาษทรายขัดสกิมโค้ท WAC TOA รุ่น 120 ขนาด 9 x 11 นิ้ว สีน้ำตาล,https://www.thaiwatsadu.com/th/sku/60331694,กระดาษทรายขัดสกิมโค้ท WAC TOA รุ่น 120 ขนาด 9 x 11 นิ้ว สีน้ำตาล,https://www.thaiwatsadu.com/th/sku/60331694,90
CORRECT,กลอนสับ YALE ขนาด 4นิ้ว สเตนเลสด้าน,https://www.boonthavorn.com/yale-1161857,กลอนสับสเตนเลส YALE รุ่น DL909SS ขนาด 4 นิ้ว สีสเตนเลสด้าน,https://www.thaiwatsadu.com/th/sku/60342754,กลอนสับสเตนเลส YALE รุ่น DL909SS ขนาด 4 นิ้ว สีสเตนเลสด้าน,https://www.thaiwatsadu.com/th/sku/60342754,100
INCORRECT,กาวตะปูอเนกประสงค์ ADHESIVE NAIL 300 ML.,https://www.boonthavorn.com/jorakay-1066226,กาวตะปู สูตรน้ำมันแห้งเร็ว จระเข้ ขนาด 300 มล. สีน้ำตาลอ่อน,https://www.thaiwatsadu.com/th/sku/60240190,กาวตะปู สูตรน้ำแห้งเร็ว จระเข้ รุ่น AdhesiveQuick ขนาด 280 มล. สีขาว,https://www.thaiwatsadu.com/th/sku/60305492,95
CORRECT,กาวตะปูสูตรน้ำ แอดฮีซีฟ ควิก 280 ml.,https://www.boonthavorn.com/jorakay-1083436,กาวตะปู สูตรน้ำแห้งเร็ว จระเข้ รุ่น AdhesiveQuick ขนาด 280 มล. สีขาว,https://www.thaiwatsadu.com/th/sku/60305492,กาวตะปู สูตรน้ำแห้งเร็ว จระเข้ รุ่น AdhesiveQuick ขนาด 280 มล. สีขาว,https://www.thaiwatsadu.com/th/sku/60305492,95
CORRECT,กุญแจคล้องYale BD45P3L ห่วงยาวคีย์อะไลย์,https://www.boonthavorn.com/yale-1113599?page=1,กุญแจคีย์อะไลค์ลูกปืนคล้องคอยาวทองเหลือง YALE รุ่น BD45P3L ขนาด 45 มม. (แพ็ค 3 ชิ้น) สีทองเหลือง,https://www.thaiwatsadu.com/th/sku/60313843,กุญแจคีย์อะไลค์ลูกปืนคล้องคอยาวทองเหลือง YALE รุ่น BD45P3L ขนาด 45 มม. (แพ็ค 3 ชิ้น) สีทองเหลือง,https://www.thaiwatsadu.com/th/sku/60313843,100
CORRECT,อุปกรณ์บานเลื่อน HAFELE รุ่น 499.72.055,https://www.boonthavorn.com/hafele-1016246,ชุดอุปกรณ์ลูกล้อบานเลื่อน Silent 100/A HAFELE รุ่น 499.72.055 สีครีม,https://www.thaiwatsadu.com/th/sku/60340427,ชุดอุปกรณ์ลูกล้อบานเลื่อน Silent 100/A HAFELE รุ่น 499.72.055 สีครีม,https://www.thaiwatsadu.com/th/sku/60340427,100
CORRECT,จระเข้ ฟลอร์ สมูท แพทซ์ 20 KG. JORAKAY,https://www.boonthavorn.com/jorakay-1171506,ซีเมนต์ซ่อมแซม ปรับผิวคอนกรีตชนิดบาง จระเข้ ฟลอร์ สมูท แพทซ์ ขนาด 20 กก. สีเทา,https://www.thaiwatsadu.com/th/sku/60322946,ซีเมนต์ซ่อมแซม ปรับผิวคอนกรีตชนิดบาง จระเข้ ฟลอร์ สมูท แพทซ์ ขนาด 20 กก. สีเทา,https://www.thaiwatsadu.com/th/sku/60322946,100
CORRECT,ซีเมนต์ซ่อมแซมโครงสร้าง จระเข้ 20 Kg.,https://www.boonthavorn.com/jorakay-1040122,ซีเมนต์ซ่อมแซมโครงสร้าง จระเข้ ขนาด 20 กก. สีเทา,https://www.thaiwatsadu.com/th/sku/60250453,ซีเมนต์ซ่อมแซมโครงสร้าง จระเข้ ขนาด 20 กก. สีเทา,https://www.thaiwatsadu.com/th/sku/60250453,100
CORRECT,ซีเมนต์กันซึมจระเข้ อีโค่ ชิลด์ 20 KG.,https://www.boonthavorn.com/jorakay-1157382,ซีเมนต์ทากันซึมส่วนผสมเดียวอีโคชิลด์ จระเข้ รุ่น C04100106 ขนาด 20 กก. สีเทา,https://www.thaiwatsadu.com/th/sku/60318265,ซีเมนต์ทากันซึมส่วนผสมเดียวอีโคชิลด์ จระเข้ รุ่น C04100106 ขนาด 20 กก. สีเทา,https://www.thaiwatsadu.com/th/sku/60318265,100
INCORRECT,ซีเมนต์กันซึม เฟล็กซ์2 เค+น้ำยาAB 23 กก.,https://www.boonthavorn.com/jorakay-1104332,ซีเมนต์ทากันรั่วซึมยืดหยุ่นผสมสองส่วน จระเข้ รุ่น C04051145 ขนาด ปูน 18 กก. + น้ำยา 5 ลิตร สีเทา,https://www.thaiwatsadu.com/th/sku/60292046,ซีเมนต์ทากันรั่วซึมยืดหยุ่นผสมสองส่วน LANKO รุ่น 226 ขนาด 23 กก. สีเทา,https://www.thaiwatsadu.com/th/sku/60155544,95
