status,source_name,source_url,expected_twd_name,expected_twd_url,matched_twd_name,matched_twd_url,confidence
INCORRECT,กาวตะปูอเนกประสงค์ ADHESIVE NAIL 300 ML.,https://www.boonthavorn.com/jorakay-1066226,กาวตะปู สูตรน้ำมันแห้งเร็ว จระเข้ ขนาด 300 มล. สีน้ำตาลอ่อน,https://www.thaiwatsadu.com/th/sku/60240190,กาวตะปู สูตรน้ำแห้งเร็ว จระเข้ รุ่น AdhesiveQuick ขนาด 280 มล. สีขาว,https://www.thaiwatsadu.com/th/sku/60305492,95
INCORRECT,ซีเมนต์กันซึม เฟล็กซ์2 เค+น้ำยาAB 23 กก.,https://www.boonthavorn.com/jorakay-1104332,ซีเมนต์ทากันรั่วซึมยืดหยุ่นผสมสองส่วน จระเข้ รุ่น C04051145 ขนาด ปูน 18 กก. + น้ำยา 5 ลิตร สีเทา,https://www.thaiwatsadu.com/th/sku/60292046,ซีเมนต์ทากันรั่วซึมยืดหยุ่นผสมสองส่วน LANKO รุ่น 226 ขนาด 23 กก. สีเทา,https://www.thaiwatsadu.com/th/sku/60155544,95
INCORRECT,ซีเมนต์กันซึมยืดหยุ่นเฟล็กซ์ชิล 4KG.เทา,https://www.boonthavorn.com/jorakay-1008702,ซีเมนต์ทากันรั่วซึมยืดหยุ่นส่วนผสมเดี่ยว จระเข้ รุ่น 1350 ขนาด 4 กก. สีเทา,https://www.thaiwatsadu.com/th/sku/60187911,ซีเมนต์ทากันรั่วซึมยืดหยุ่นส่วนผสมเดี่ยว TOA รุ่น Floorseal ขนาด 4 กก. สีเทา,https://www.thaiwatsadu.com/th/sku/60253598,85
INCORRECT,ซีเมนต์ซ่อมแซมฟลอร์แพทชิ่งมอร์ต้า 20KG,https://www.boonthavorn.com/jorakay-1249051,มอร์ต้าปรับผิวหน้าชนิดบาง จระเข้ ฟลอร์ แพทชิ่ง มอร์ต้า ขนาด 20 กก. สีเทา,https://www.thaiwatsadu.com/th/sku/60381769,ซีเมนต์ซ่อมแซม ปรับผิวคอนกรีตชนิดบาง จระเข้ ฟลอร์ สมูท แพทซ์ ขนาด 20 กก. สีเทา,https://www.thaiwatsadu.com/th/sku/60322946,95
INCORRECT,ลูกกลิ้งทาสี ขนแกะ 10 นิ้ว,https://www.boonthavorn.com/somic-77355,ลูกกลิ้งทาสี SOMIC ขนาด 10 นิ้ว สีเหลือง,https://www.thaiwatsadu.com/th/sku/60001618,ลูกกลิ้งทาสีขนยาว 14 มม. HACHI ขนาด 10 นิ้ว,https://www.thaiwatsadu.com/th/sku/60256559,70
INCORRECT,ลูกกลิ้งทาสี ขนแกะ 7นิ้ว,https://www.boonthavorn.com/somic-77665,ลูกกลิ้งทาสี SOMIC ขนาด 7 นิ้ว สีเหลือง,https://www.thaiwatsadu.com/th/sku/60001616,ลูกกลิ้งทาสีขนยาว 14 มม. HACHI ขนาด 7 นิ้ว,https://www.thaiwatsadu.com/th/sku/60270101,85
INCORRECT,ลูกบิดห้องทั่วไป489.93.110*สีสแตนเลส,https://www.boonthavorn.com/hafele-1074605,ลูกบิดห้องทั่วไปหัวกลมสเตนเลส 201 SCP รุ่น K587SS ขนาด 65 มม. สีสเตนเลส,https://www.thaiwatsadu.com/th/sku/60168682,ลูกบิดห้องทั่วไปหัวจันสเตนเลส SOLO รุ่น C 532 SS สีสเตนเลส,https://www.thaiwatsadu.com/th/sku/60215955,70
INCORRECT,สกรูปลายสว่านหัวเวเฟอร์ 8*3/4 MM.SDD-834,https://www.boonthavorn.com/pansiam-1160707?page=1,สกรูปลายสว่านหัวกลม (เกลียวหุน) 8 x 3/4 นิ้ว PAN SIAM รุ่น TPSD-834 (แพ็ก 50 ตัว) สีซิงค์รุ้ง,https://www.thaiwatsadu.com/th/sku/60254163,สกรูปลายสว่านหัวเวเฟอร์ (เกลียวหุน) 8 x 3/4 นิ้ว PAN SIAM รุ่น SDD-834W (แพ็ก 50 ตัว),https://www.thaiwatsadu.com/th/sku/60254003,95
INCORRECT,สกรูยิปซั่ม PAN-3/4-25 3/4นิ้ว 25ตัว,https://www.boonthavorn.com/pansiam-106522,สกรูไดร์วอลล์หัวเรียบ (เกลียวหุน) 6 x 3/4 นิ้ว MR METAL (กล่อง 0.5 กก.) สีดำ,https://www.thaiwatsadu.com/th/sku/60254257,สกรูปลายสว่านหัวกลม (เกลียวหุน) 8 x 3/4 นิ้ว PAN SIAM รุ่น TPSD-834 (แพ็ก 50 ตัว) สีซิงค์รุ้ง,https://www.thaiwatsadu.com/th/sku/60254163,95
INCORRECT,อะไหล่ขนลูกกลิ้ง 4 นิ้ว C30104 ขาว,https://www.boonthavorn.com/at-indy-115259,อะไหล่ลูกกลิ้งทาสี AT INDY รุ่น C30104-10 ขนาด 4 นิ้ว,https://www.thaiwatsadu.com/th/sku/60164369,อะไหล่ลูกกลิ้งทาสีเคมีขนแกะ SOMIC ขนาด 4 นิ้ว สีขาว,https://www.thaiwatsadu.com/th/sku/60001776,95
INCORRECT,อะไหล่ลูกกลิ้งเคมีไมโครไฟเบอร์กลาส HACHI 4 นิ้ว,https://www.boonthavorn.com/hachi-1218479,อะไหล่ลูกกลิ้งทาสีเคมี HACHI ขนาด 4 นิ้วสีดำ - ส้ม,https://www.thaiwatsadu.com/th/sku/60270107,ลูกกลิ้งทาสีไฟเบอร์กาสเคมี HACHI ขนาด 4 นิ้ว,https://www.thaiwatsadu.com/th/sku/60256561,95
INCORRECT,เทปกาวย่น24มมx25ม. เทปกาวย่น2214,https://www.boonthavorn.com/3m-1161908,เทปกระดาษกาวย่น SCOTCH รุ่น XT002077672 ขนาด 24 มม. x 25 หลา สีขาว,https://www.thaiwatsadu.com/th/sku/60121671,เทปกาวย่น LOUIS ขนาด 36 มม. x 15 ม. สีขาว,https://www.thaiwatsadu.com/th/sku/60305650,80
