status,GT_Fault,source_name,source_url,expected_twd_name,expected_twd_url,matched_twd_name,matched_twd_url,confidence
CORRECT,NO,ทินเนอร์ TOA BARCO AAA 2 ลิตร,https://www.megahome.co.th/p/15098,ทินเนอร์ BARCO รุ่น AAA ขนาด 1 แกลอน,https://www.thaiwatsadu.com/th/sku/60001580,ทินเนอร์ BARCO รุ่น AAA ขนาด 1 แกลอน,https://www.thaiwatsadu.com/th/sku/60001580,95
CORRECT,NO,ทินเนอร์ BARGO AAA 11 ลิตร (ปี๊ป),https://www.megahome.co.th/p/15099,ทินเนอร์ BARCO รุ่น AAA ขนาด 11 กก. (ปิ๊บ),https://www.thaiwatsadu.com/th/sku/60001575,ทินเนอร์ BARCO รุ่น AAA ขนาด 11 กก. (ปิ๊บ),https://www.thaiwatsadu.com/th/sku/60001575,95
CORRECT,NO,ทินเนอร์ TOA BARGO AAA ขวดใหญ่,https://www.megahome.co.th/p/15097,ทินเนอร์ Barco รุ่น AAA ขนาด ขวดใหญ่,https://www.thaiwatsadu.com/th/sku/60001595,ทินเนอร์ Barco รุ่น AAA ขนาด ขวดใหญ่,https://www.thaiwatsadu.com/th/sku/60001595,95
NOT_FOUND,NO,น้ำมันสน TOA SHARKS 1 แกลลอน,https://www.megahome.co.th/p/15075,น้ำมันสน SHARK รุ่นกระป๋อง ขนาด 2.3 กก. สีใส (#0TUR),https://www.thaiwatsadu.com/th/sku/60001739,,,0
CORRECT,NO,น้ำมันสน TOA SHARKS ขวดใหญ่,https://www.megahome.co.th/p/15074,น้ำมันสน SHARK รุ่นขวดใหญ่ สีใส 0TUR,https://www.thaiwatsadu.com/th/sku/60001746,น้ำมันสน SHARK รุ่นขวดใหญ่ สีใส 0TUR,https://www.thaiwatsadu.com/th/sku/60001746,95
CORRECT,NO,น้ำมันสน TOA SHARKS 1 ปี๊ป,https://www.megahome.co.th/p/15076,น้ำมันสน SHARK รุ่นปิ๊ป ขนาด 11 กก. สีใส (#0TUR),https://www.thaiwatsadu.com/th/sku/60001730,น้ำมันสน SHARK รุ่นปิ๊ป ขนาด 11 กก. สีใส (#0TUR),https://www.thaiwatsadu.com/th/sku/60001730,95
CORRECT,NO,สีรองพื้นปูนเก่า CAPTAIN REPAINT 5 แกลลอน,https://www.megahome.co.th/p/266430,น้ำยาปรับสภาพปูนเก่า REPAINT รุ่น 2000 ขนาด 5 แกลลอน สีขาว,https://www.thaiwatsadu.com/th/sku/60165342,น้ำยาปรับสภาพปูนเก่า REPAINT รุ่น 2000 ขนาด 5 แกลลอน สีขาว,https://www.thaiwatsadu.com/th/sku/60165342,95
CORRECT,NO,ประตูห้องน้ำ UPVC ECO-DOOR PB1 70X200 ซม. สีเทา ทูโทน เจาะลูกบิด,https://www.megahome.co.th/p/1242180,ประตูภายใน UPVC ECO DOOR รุ่น PB1 ขนาด 70 x 200 ซม. สีเทาอ่อนทูโทนเทาเข้ม (เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60412569,ประตูภายใน UPVC ECO DOOR รุ่น PB1 ขนาด 70 x 200 ซม. สีเทาอ่อนทูโทนเทาเข้ม (เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60412569,100
CORRECT,NO,ประตูห้องน้ำ UPVC ECO-DOOR TLW 70X200 ซม. สีขาว เจาะลูกบิด,https://www.megahome.co.th/p/1234741,ประตูภายนอก UPVC ECO DOOR รุ่น TLW ขนาด 70 x 200 ซม. สีขาว (เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60387831,ประตูภายนอก UPVC ECO DOOR รุ่น TLW ขนาด 70 x 200 ซม. สีขาว (เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60387831,95
CORRECT,NO,ประตูภายนอก UPVC เจาะลูกบิด ECO-DOOR TLW 80x200 ซม. สีขาว,https://www.megahome.co.th/p/1200774,ประตูภายนอก UPVC ECO DOOR รุ่น TLW ขนาด 80 x 200 ซม. สีขาว (เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60387911,ประตูภายนอก UPVC ECO DOOR รุ่น TLW ขนาด 80 x 200 ซม. สีขาว (เจาะลูกบิด),https://www.thaiwatsadu.com/th/sku/60387911,100
